Hand_ID,Stakes,Cash_Drop,Hero_Position,Hero_Stack,Hero_Cards,Flop_Cards,Turn_Card,River_Card,Preflop_Actions,Preflop_1st_Bet,Preflop_3B,Preflop_4B,Preflop_5B,Preflop_Limp,Preflop_Limp_Fold,Preflop_Limp_Call,Preflop_Pot,Hero_Position_Type,Hero_Open_Position,Hero_3B_Chance,Pot_Type,Hero_Squeeze,Final_Pot_Type,UTG_open,MP_open,CO_open,BTN_open,SB_open,BB_call_open,UTG_3B,MP_3B,CO_3B,BTN_3B,SB_3B,BB_3B,UTG_face_to_3B,MP_face_to_3B,CO_face_to_3B,BTN_face_to_3B,SB_face_to_3B,BB_face_to_3B,UTG_4B,MP_4B,CO_4B,BTN_4B,SB_4B,BB_4B,UTG_face_to_4B,MP_face_to_4B,CO_face_to_4B,BTN_face_to_4B,SB_face_to_4B,BB_face_to_4B,Pool_Preflop_Summary,Hero_Preflop_Summary,Flop_Actions,Flop_Pot,IP_Cbet_Flop,OOP_Cbet_Flop,VS_IP_Cbet_Flop,VS_OOP_Cbet_Flop,OOP_Donk_Flop,IP_Face_Donk_Flop,Miss_Cbet_OOP_Flop,OOP_Miss_Cbet_IP_Bet,Miss_Cbet_IP_Flop,IP_Miss_Cbet_OOP_Bet_Turn,OOP_XR_Cbet_Flop,IP_Raises_Cbet_Flop,Turn_Actions,Turn_Pot,River_Actions,River_Pot,Result,Total_Pot,Hero_Win,Hero_Win_Amount,OOP_Player,IP_Player,ip_face_donk
RC3334439098,($0.02/$0.05),NO,SB,162BB,3c 6s,5h Kc 2h,6h,Jd,Opp(UTG): folds; Opp(MP): raises 2.0BB; Opp(CO): folds; Opp(BTN): raises 3.0BB; Hero(SB): folds; Opp(BB): folds; Opp(MP): calls 1.0BB,Opp(MP): raises 2.0BB; Opp(CO): folds,Opp(BTN): raises 3.0BB; Hero(SB): folds; Opp(BB): folds; Opp(MP): calls 1.0BB,,,,,,7.4BB,NA,NA,Yes-folds,3B,NO,1v1,NO,NO,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BTN_3B_MP_C,folds to open,Opp(MP): checks; Opp(BTN): checks; ,7.4BB,NO,NA,,,NO,,NO,,YES,yes,NO,NO,Opp(MP): bets 3.8BB; Opp(BTN): calls 3.8BB; ,15.0BB,Opp(MP): checks; Opp(BTN): checks; ,15.0BB,-0.4BB,15.0BB,NO,0,52f43d28,5f1cdd27,
RC3334438738,($0.02/$0.05),NO,MP,145BB,9s Ks,Kh 3d Jh,2d,Kc,Opp(UTG): folds; Hero(MP): raises 2.0BB; Opp(CO): folds; Opp(BTN): raises 3.0BB; Opp(SB): folds; Opp(BB): folds; Hero(MP): calls 1.0BB,Hero(MP): raises 2.0BB; Opp(CO): folds,Opp(BTN): raises 3.0BB; Opp(SB): folds; Opp(BB): folds; Hero(MP): calls 1.0BB,,,,,,7.4BB,OOP,MP,NO,3B,NO,1v1,NO,NO,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BTN_3B_MP_C,calls 3B,Hero(MP): checks; Opp(BTN): checks; ,7.4BB,NO,hero_NA,,,Hero_no,,NO,,YES,hero_yes,NO,NO,Hero(MP): bets 4.0BB; Opp(BTN): calls 4.0BB; ,15.4BB,Hero(MP): checks; Opp(BTN): bets 11.6BB; Hero(MP): calls 11.6BB; ,38.6BB,16.8BB,38.6BB,YES,0,Hero,8023de0f,
RC3334438713,($0.02/$0.05),NO,BTN,145BB,6h 2d,,,,Opp(UTG): folds; Opp(MP): folds; Opp(CO): folds; Hero(BTN): folds; Opp(SB): folds,,,,,,,,0.8BB,NA,fold,NO,No open all folds,NO,fold,NO,NO,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No open all folds,folds,,0BB,,,,,NO,,NO,,NO,,NO,NO,,0BB,,0BB,0BB,0.8BB,NO,0,,,
RC3334438689,($0.02/$0.05),NO,MP,145BB,3h 6h,9c Kc 5s,Kh,8d,Opp(UTG): folds; Hero(MP): folds; Opp(CO): folds; Opp(BTN): raises 2.0BB; Opp(SB): folds; Opp(BB): calls 1.0BB,Opp(BTN): raises 2.0BB; Opp(SB): folds; Opp(BB): calls 1.0BB,,,,,,,4.4BB,NA,fold,NO,SRP,NO,1v1,NO,NO,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BTN_R_BB_C,folds,Opp(BB): checks; Opp(BTN): checks; ,4.4BB,NO,NA,,,NO,,NO,,YES,yes,NO,NO,Opp(BB): bets 1.6BB; Opp(BTN): calls 1.6BB; ,7.6BB,Opp(BB): bets 2.6BB; Opp(BTN): folds; ,7.6BB,0BB,7.6BB,NO,0,29bdeb43,858b70a7,
RC3334438669,($0.02/$0.05),NO,UTG,145BB,5c 9c,9s 8d Ah,,,Hero(UTG): folds; Opp(MP): folds; Opp(CO): raises 2.4BB; Opp(BTN): folds; Opp(SB): folds; Opp(BB): calls 1.4BB,Opp(CO): raises 2.4BB; Opp(BTN): folds; Opp(SB): folds; Opp(BB): calls 1.4BB,,,,,,,5.2BB,NA,fold,NO,SRP,NO,1v1,NO,NO,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CO_R_BB_C,folds,Opp(BB): checks; Opp(CO): bets 2.4BB; Opp(BB): folds; ,5.2BB,yes,NA,fold,,NO,,NO,,NO,,NO,NO,,0BB,,0BB,0BB,5.2BB,NO,0,50053f22,90fb5891,
RC3334438605,($0.02/$0.05),NO,BB,144BB,Jc 9c,,,,Opp(UTG): folds; Opp(MP): folds; Opp(CO): folds; Opp(BTN): folds; Opp(SB): folds,,,,,,,,0.8BB,NA,NA_hero_BB,NO,No open all folds,NO,fold,NO,NO,NO,NO,NO,Hero_NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No open all folds,all folds hero in BB,,0BB,,,,,NO,,NO,,NO,,NO,NO,,0BB,,0BB,0.4BB,0.8BB,YES,0,,,
RC3334438578,($0.02/$0.05),NO,SB,145BB,9c As,9s Kh Jc,,,Opp(UTG): folds; Opp(MP): folds; Opp(CO): folds; Opp(BTN): raises 2.0BB; Hero(SB): folds; Opp(BB): calls 1.0BB,Opp(BTN): raises 2.0BB; Hero(SB): folds; Opp(BB): calls 1.0BB,,,,,,,4.4BB,NA,NA,Yes-folds,SRP,NO,1v1,NO,NO,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BTN_R_BB_C,folds to open,Opp(BB): checks; Opp(BTN): bets 2.0BB; Opp(BB): folds; ,4.4BB,yes,NA,fold,,NO,,NO,,NO,,NO,NO,,0BB,,0BB,-0.4BB,4.4BB,NO,0,ef1a0dc2,32d40ce0,
RC3334438534,($0.02/$0.05),NO,CO,145BB,Kh 7c,,,,Opp(UTG): folds; Opp(MP): folds; Hero(CO): folds; Opp(BTN): folds; Opp(SB): folds,,,,,,,,0.8BB,NA,fold,NO,No open all folds,NO,fold,NO,NO,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No open all folds,folds,,0BB,,,,,NO,,NO,,NO,,NO,NO,,0BB,,0BB,0BB,0.8BB,NO,0,,,
RC3334438515,($0.02/$0.05),NO,CO,145BB,Jc 4s,,,,Opp(UTG): folds; Opp(MP): folds; Hero(CO): folds; Opp(BTN): folds; Opp(SB): folds,,,,,,,,0.8BB,NA,fold,NO,No open all folds,NO,fold,NO,NO,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No open all folds,folds,,0BB,,,,,NO,,NO,,NO,,NO,NO,,0BB,,0BB,0BB,0.8BB,NO,0,,,
RC3334438478,($0.02/$0.05),NO,MP,145BB,Js 2d,6c Qc Qd,3h,8d,Opp(UTG): folds; Hero(MP): folds; Opp(CO): folds; Opp(BTN): folds; Opp(SB): calls 0.6BB; Opp(BB): checks,,,,,,,,2.0BB,NA,fold,NO,limped,NO,1v1,NO,NO,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,limped_SB,folds,Opp(SB): checks; Opp(BB): bets 1.0BB; Opp(SB): calls 1.0BB; ,4.0BB,NA,NA,,,NO,,NO,,NO,,NO,NO,Opp(SB): checks; Opp(BB): checks; ,4.0BB,Opp(SB): checks; Opp(BB): checks; ,4.0BB,0BB,4.0BB,NO,0,93735ac4,7de3ae0a,
