hand_id,hero_position,hero_stack,hero_cards,flop_cards,turn_card,river_card,preflop_actions,Preflop_Pot,flop_actions,Flop_Pot,turn_actions,Turn_Pot,river_actions,River_Pot,Result(Hero),Total_Pot
RC3334370338,Hero(BTN),110BB,Jc 4d,5h Ac Ah,3s,Ad,Opp(CO): raises 3.0BB; Opp(SB): raises 10.0BB; Opp(CO): calls 7.0BB; ,21.4BB,Opp(SB): bets 7.0BB; Opp(CO): calls 7.0BB; ,35.4BB,Opp(SB): checks; Opp(CO): checks; ,35.4BB,Opp(SB): checks; Opp(CO): checks; ca93b3ea: shows [7s 7h] (Aces Full over Sevens); ab5e89b2: shows [Jh Qh] (Three Aces); ,35.4BB,0BB,35.0BB
RC3334370265,Hero(SB),110BB,Th Qs,,,,Opp(CO): raises 3.0BB; ,2.4BB,,0BB,,0BB,,0BB,-0.4BB,2.4BB
RC3334369980,Hero(BB),110BB,Qs Ks,5h 8c 7c,9c,6d,Opp(BTN): raises 2.6BB; Hero: calls 1.6BB; ,5.6BB,Hero: checks; Opp(BTN): checks; ,5.6BB,Hero: checks; Opp(BTN): checks; ,5.6BB,Hero: checks; Opp(BTN): checks; Hero: shows [Qs Ks] (Nines-High Straight); 20e2d62: shows [Js Ah] (Nines-High Straight); ,5.6BB,1.4BB,5.6BB
RC3334369969,Hero(CO),110BB,7d Kh,,,,,0.8BB,,0BB,,0BB,,0BB,0BB,0.8BB
RC3334369954,Hero(MP),110BB,Ad 9s,,,,,0.8BB,,0BB,,0BB,,0BB,0BB,0.8BB
RC3334369906,Hero(CO),110BB,3d Qs,Tc 6c 9c,5s,4s,Opp(MP): raises 2.0BB; Opp(BB): calls 1.0BB; ,4.4BB,Opp(BB): checks; Opp(MP): bets 3.0BB; Opp(BB): calls 3.0BB; ,10.4BB,Opp(BB): checks; Opp(MP): bets 7.0BB; Opp(BB): calls 7.0BB; ,24.4BB,Opp(BB): checks; Opp(MP): bets 17.0BB; Opp(BB): calls 17.0BB; 7f832000: shows [Kd Js] (King-High); b167a4a5: shows [Td Qh] (Pair of Tens); ,58.4BB,0BB,58.4BB
RC3334369867,Hero(BTN),110BB,6d Kc,3s 8h 6s,,,Opp(UTG): raises 2.6BB; Opp(SB): calls 2.2BB; Opp(BB): calls 1.6BB; ,7.8BB,Opp(SB): checks; Opp(BB): bets 2.8BB; ,7.8BB,,0BB,,0BB,0BB,7.8BB
RC3334369572,Hero(SB),112BB,As Ts,9h 7d 2s,8s,3d,Opp(MP): raises 2.0BB; Hero: calls 1.6BB; Opp(BB): calls 1.0BB; ,6.0BB,Hero: checks; Opp(BB): checks; Opp(MP): checks; ,6.0BB,Hero: checks; Opp(BB): checks; Opp(MP): checks; ,6.0BB,Hero: checks; Opp(BB): checks; Opp(MP): checks; Hero: shows [As Ts] (Ace-High); ed41f291: shows [7h 8h] (Pair of Eights and Pair of Sevens); 8be10cd0: shows [5c Ac] (Ace-High); ,6.0BB,-2.0BB,6.0BB
RC3334369314,Hero(BB),110BB,5c 3c,4c Qc 5d,6s,8h,Opp(BTN): raises 2.0BB; Hero: calls 1.0BB; ,4.4BB,Hero: checks; Opp(BTN): checks; ,4.4BB,Hero: checks; Opp(BTN): checks; ,4.4BB,Hero: checks; Opp(BTN): checks; Hero: shows [5c 3c] (Pair of Fives); 8c6b70e4: shows [Jh Kd] (King-High); ,4.4BB,2.1BB,4.4BB
RC3334369293,Hero(UTG),110BB,9d 8c,7h 4d 8d,,,Opp(BTN): raises 3.0BB; Opp(SB): raises 12.0BB; Opp(BTN): calls 9.0BB; ,25.4BB,Opp(SB): bets 5.4BB; Opp(BTN): raises 20.4BB; ,36.2BB,,0BB,,0BB,0BB,35.8BB
