hand_id,hero_position,hero_position_type,hero_open_position,hero_3b_position,pot_type,hero_squeeze,final_pot_type,hero_stack,hero_cards,SB_BB,flop_cards,turn_card,river_card,preflop_actions,preflop_action_1st_bet,preflop_action_3B,preflop_action_4B,preflop_action_5B,preflop_action_limp,preflop_action_limp_fold,preflop_action_limp_call,Preflop_Pot,flop_actions,Flop_Pot,turn_actions,Turn_Pot,river_actions,River_Pot,Result(Hero),Total_Pot,cash_drop,IP_Cbet_Flop,OOP_Cbet_Flop,IP_Cbet_Response,OOP_Cbet_Response,OOP_Donk_Flop,Miss_Cbet_OOP,Miss_Cbet_OOP_Response,Miss_Cbet_IP,Miss_Cbet_IP_Response
RC3334603619,Hero(CO),IP,CO,,SRP,NO,1v1,100BB,9c Ac,$0.02/$0.05,7s 3h Tc,8s,3d,Opp(UTG): folds; Opp(MP): folds; Hero(CO): raises 2.0BB; Opp(BTN): folds; Opp(SB): folds; Opp(BB): calls 1.0BB,Hero(CO): raises 2.0BB; Opp(BTN): folds; Opp(SB): folds; Opp(BB): calls 1.0BB,,,,,,,4.4BB,Opp(BB): checks; Hero(CO): checks; ,4.4BB,Opp(BB): bets 1.6BB; Hero(CO): calls 1.6BB; ,7.6BB,Opp(BB): bets 5.8BB; Hero(CO): folds; ,7.6BB,-3.6BB,7.6BB,,NO,NO,,,NO,YES,IP check,YES,
RC3334603565,Hero(CO),NA,,,limped,NO,fold,100BB,Qh 4c,$0.02/$0.05,,,,Opp(UTG): folds; Opp(MP): folds; Hero(CO): folds; Opp(BTN): folds; Opp(SB): folds,,,,,,,,0.8BB,,0BB,,0BB,,0BB,0BB,0.8BB,,,,,,NO,,,,
RC3334603458,Hero(BB),NA,,,3B,NO,1v1,100BB,6s 7s,$0.02/$0.05,Qh 9s Kd,,,Opp(UTG): raises 2.0BB; Opp(MP): folds; Opp(CO): folds; Opp(BTN): raises 6.2BB; Opp(SB): folds; Hero(BB): folds; Opp(UTG): calls 4.2BB,Opp(UTG): raises 2.0BB; Opp(MP): folds; Opp(CO): folds,Opp(BTN): raises 6.2BB; Opp(SB): folds; Hero(BB): folds; Opp(UTG): calls 4.2BB,,,,,,13.8BB,Opp(UTG): checks; Opp(BTN): bets 4.8BB; Opp(UTG): folds; ,13.8BB,,0BB,,0BB,-1.0BB,13.8BB,,YES,NO,OOP fold,,NO,YES,,,
RC3334603430,Hero(BTN),NA,,,SRP,NO,multi,100BB,3s Ts,$0.02/$0.05,Ad 3d 8s,3c,,Opp(UTG): folds; Opp(MP): folds; Opp(CO): raises 3.0BB; Hero(BTN): folds; Opp(SB): calls 2.6BB; Opp(BB): calls 2.0BB,Opp(CO): raises 3.0BB; Hero(BTN): folds; Opp(SB): calls 2.6BB; Opp(BB): calls 2.0BB,,,,,,,9.0BB,Opp(SB): checks; Opp(BB): checks; Opp(CO): checks; ,9.0BB,Opp(SB): bets 3.0BB; Opp(BB): folds; Opp(CO): folds; ,9.0BB,,0BB,0BB,9.0BB,,NO,NO,,,NO,YES,IP check,YES,
RC3334603399,Hero(SB),NA,,,SRP,NO,fold,100BB,9d Qs,$0.02/$0.05,,,,Opp(UTG): folds; Opp(MP): folds; Opp(CO): folds; Opp(BTN): raises 2.4BB; Hero(SB): folds; Opp(BB): folds,Opp(BTN): raises 2.4BB; Hero(SB): folds; Opp(BB): folds,,,,,,,2.4BB,,0BB,,0BB,,0BB,-0.4BB,2.4BB,,,,,,NO,,,,
RC3334603366,Hero(MP),NA,,,3B,NO,fold,100BB,Qs 5c,$0.02/$0.05,,,,Opp(UTG): folds; Hero(MP): folds; Opp(CO): raises 2.0BB; Opp(BTN): raises 7.6BB; Opp(SB): folds; Opp(BB): folds; Opp(CO): folds,Opp(CO): raises 2.0BB,Opp(BTN): raises 7.6BB; Opp(SB): folds; Opp(BB): folds; Opp(CO): folds,,,,,,5.4BB,,0BB,,0BB,,0BB,0BB,5.4BB,,,,,,NO,,,,
RC3334603330,Hero(CO),NA,,,3B,NO,fold,100BB,3c 2s,$0.02/$0.05,,,,Opp(UTG): folds; Opp(MP): raises 2.2BB; Hero(CO): folds; Opp(BTN): folds; Opp(SB): raises 11.0BB; Opp(BB): folds; Opp(MP): folds,Opp(MP): raises 2.2BB; Hero(CO): folds; Opp(BTN): folds,Opp(SB): raises 11.0BB; Opp(BB): folds; Opp(MP): folds,,,,,,5.8BB,,0BB,,0BB,,0BB,0BB,5.4BB,,,,,,NO,,,,
RC3334603292,Hero(CO),NA,,,SRP,NO,fold,100BB,2h 7h,$0.02/$0.05,,,,Opp(UTG): folds; Opp(MP): raises 3.0BB; Hero(CO): folds; Opp(BTN): folds; Opp(SB): folds; Opp(BB): folds,Opp(MP): raises 3.0BB; Hero(CO): folds; Opp(BTN): folds; Opp(SB): folds; Opp(BB): folds,,,,,,,2.4BB,,0BB,,0BB,,0BB,0BB,2.4BB,,,,,,NO,,,,
RC3334603245,Hero(MP),NA,,,limped,NO,fold,100BB,2h Ks,$0.02/$0.05,,,,Opp(UTG): folds; Hero(MP): folds; Opp(CO): folds; Opp(BTN): folds; Opp(SB): folds,,,,,,,,0.8BB,,0BB,,0BB,,0BB,0BB,0.8BB,,,,,,NO,,,,
RC3334603213,Hero(MP),NA,,,SRP,NO,1v1,100BB,2h Ah,$0.02/$0.05,3s Jc 7s,,,Opp(UTG): folds; Hero(MP): folds; Opp(CO): folds; Opp(BTN): raises 2.6BB; Opp(SB): folds; Opp(BB): calls 1.6BB,Opp(BTN): raises 2.6BB; Opp(SB): folds; Opp(BB): calls 1.6BB,,,,,,,5.6BB,Opp(BB): checks; Opp(BTN): bets 2.8BB; Opp(BB): raises 11.2BB; Opp(BTN): folds; ,11.2BB,,0BB,,0BB,0BB,11.2BB,,YES,NO,OOP XR,,NO,YES,,,
RC3334603179,Hero(UTG),NA,,,SRP,NO,fold,100BB,Td 5d,$0.02/$0.05,,,,Hero(UTG): folds; Opp(MP): folds; Opp(CO): folds; Opp(BTN): raises 3.4BB; Opp(SB): folds; Opp(BB): folds,Opp(BTN): raises 3.4BB; Opp(SB): folds; Opp(BB): folds,,,,,,,2.4BB,,0BB,,0BB,,0BB,0BB,2.4BB,,,,,,NO,,,,
RC3334603138,Hero(MP),NA,,,SRP,NO,fold,100BB,4d As,$0.02/$0.05,,,,Opp(UTG): folds; Hero(MP): folds; Opp(CO): folds; Opp(BTN): folds; Opp(SB): raises 2.6BB; Opp(BB): folds,Opp(SB): raises 2.6BB; Opp(BB): folds,,,,,,,2.4BB,,0BB,,0BB,,0BB,0BB,2.0BB,,,,,,NO,,,,
RC3334603034,Hero(BB),NA,,,SRP,NO,fold,100BB,5s 7h,$0.02/$0.05,,,,Opp(UTG): raises 2.0BB; Opp(MP): folds; Opp(CO): folds; Opp(BTN): folds; Opp(SB): folds; Hero(BB): folds,Opp(UTG): raises 2.0BB; Opp(MP): folds; Opp(CO): folds; Opp(BTN): folds; Opp(SB): folds; Hero(BB): folds,,,,,,,2.4BB,,0BB,,0BB,,0BB,-1.0BB,2.4BB,,,,,,NO,,,,
RC3334603002,Hero(CO),NA,,,limped,NO,fold,100BB,6d 3c,$0.02/$0.05,,,,Opp(UTG): folds; Opp(MP): folds; Hero(CO): folds; Opp(BTN): folds; Opp(SB): folds,,,,,,,,0.8BB,,0BB,,0BB,,0BB,0BB,0.8BB,,,,,,NO,,,,
RC3334602934,Hero(SB),NA,,,SRP,NO,fold,100BB,7d 5c,$0.02/$0.05,,,,Opp(UTG): raises 3.0BB; Opp(MP): folds; Opp(CO): folds; Opp(BTN): folds; Hero(SB): folds; Opp(BB): folds,Opp(UTG): raises 3.0BB; Opp(MP): folds; Opp(CO): folds; Opp(BTN): folds; Hero(SB): folds; Opp(BB): folds,,,,,,,2.4BB,,0BB,,0BB,,0BB,-0.4BB,2.4BB,,,,,,NO,,,,
RC3334602902,Hero(BTN),NA,,,SRP,NO,1v1,100BB,Qd 7c,$0.02/$0.05,8s 5s 5d,,,Opp(UTG): folds; Opp(MP): folds; Opp(CO): raises 2.6BB; Hero(BTN): folds; Opp(SB): folds; Opp(BB): calls 1.6BB,Opp(CO): raises 2.6BB; Hero(BTN): folds; Opp(SB): folds; Opp(BB): calls 1.6BB,,,,,,,5.6BB,Opp(BB): checks; Opp(CO): bets 2.0BB; Opp(BB): folds; ,5.6BB,,0BB,,0BB,0BB,5.6BB,,YES,NO,OOP fold,,NO,YES,,,
RC3334602867,Hero(BTN),NA,,,SRP,NO,fold,100BB,4d 6h,$0.02/$0.05,,,,Opp(UTG): folds; Opp(MP): folds; Opp(CO): raises 2.6BB; Hero(BTN): folds; Opp(SB): folds; Opp(BB): folds,Opp(CO): raises 2.6BB; Hero(BTN): folds; Opp(SB): folds; Opp(BB): folds,,,,,,,2.4BB,,0BB,,0BB,,0BB,0BB,2.4BB,,,,,,NO,,,,
RC3334602838,Hero(CO),NA,,,limped,NO,fold,100BB,8d Qs,$0.02/$0.05,,,,Opp(UTG): folds; Opp(MP): folds; Hero(CO): folds; Opp(BTN): folds; Opp(SB): folds,,,,,,,,0.8BB,,0BB,,0BB,,0BB,0BB,0.8BB,,,,,,NO,,,,
RC3334602807,Hero(CO),NA,,,limped,NO,fold,100BB,7c 9c,$0.02/$0.05,,,,Opp(UTG): folds; Opp(MP): folds; Hero(CO): folds; Opp(BTN): folds; Opp(SB): folds,,,,,,,,0.8BB,,0BB,,0BB,,0BB,0BB,0.8BB,,,,,,NO,,,,
RC3334602322,Hero(BB),OOP,,,SRP,NO,1v1,100BB,Ac Ts,$0.02/$0.05,Jd 2s Ah,8s,,Opp(UTG): folds; Opp(MP): folds; Opp(CO): folds; Opp(BTN): raises 2.2BB; Opp(SB): folds; Hero(BB): calls 1.2BB,Opp(BTN): raises 2.2BB; Opp(SB): folds; Hero(BB): calls 1.2BB,,,,,,,4.8BB,Hero(BB): checks; Opp(BTN): bets 2.6BB; Hero(BB): calls 2.6BB; ,10.0BB,Hero(BB): checks; Opp(BTN): bets 7.6BB; Hero(BB): folds; ,10.0BB,,0BB,-4.8BB,10.0BB,,YES,NO,OOP call,,NO,YES,,,
RC3334602256,Hero(SB),NA,,,SRP,NO,1v1,100BB,7s 3c,$0.02/$0.05,7d Js Jd,Qh,Tc,Opp(UTG): folds; Opp(MP): folds; Opp(CO): raises 2.0BB; Opp(BTN): folds; Hero(SB): folds; Opp(BB): calls 1.0BB,Opp(CO): raises 2.0BB; Opp(BTN): folds; Hero(SB): folds; Opp(BB): calls 1.0BB,,,,,,,4.4BB,Opp(BB): checks; Opp(CO): checks; ,4.4BB,Opp(BB): checks; Opp(CO): checks; ,4.4BB,Opp(BB): checks; Opp(CO): bets 1.6BB; Opp(BB): calls 1.6BB; ,7.6BB,-0.4BB,7.6BB,,NO,NO,,,NO,YES,IP check,YES,
RC3334602205,Hero(MP),NA,,,SRP,NO,fold,100BB,Qc 2d,$0.02/$0.05,,,,Opp(UTG): raises 2.0BB; Hero(MP): folds; Opp(CO): folds; Opp(BTN): folds; Opp(SB): folds; Opp(BB): folds,Opp(UTG): raises 2.0BB; Hero(MP): folds; Opp(CO): folds; Opp(BTN): folds; Opp(SB): folds; Opp(BB): folds,,,,,,,2.4BB,,0BB,,0BB,,0BB,0BB,2.4BB,,,,,,NO,,,,
RC3334602022,Hero(BB),OOP,,,SRP,NO,1v1,101BB,9c Kc,$0.02/$0.05,Jd 5d 2h,,,Opp(UTG): folds; Opp(MP): folds; Opp(CO): folds; Opp(BTN): raises 2.0BB; Opp(SB): folds; Hero(BB): calls 1.0BB,Opp(BTN): raises 2.0BB; Opp(SB): folds; Hero(BB): calls 1.0BB,,,,,,,4.4BB,Hero(BB): checks; Opp(BTN): bets 2.2BB; Hero(BB): folds; ,4.4BB,,0BB,,0BB,-2.0BB,4.4BB,,YES,NO,OOP fold,,NO,YES,,,
RC3334601994,Hero(CO),NA,,,SRP,NO,1v1,101BB,3d 2c,$0.02/$0.05,7h 9s 9c,Ah,Td,Opp(UTG): folds; Opp(MP): folds; Hero(CO): folds; Opp(BTN): raises 2.6BB; Opp(SB): folds; Opp(BB): calls 1.6BB,Opp(BTN): raises 2.6BB; Opp(SB): folds; Opp(BB): calls 1.6BB,,,,,,,5.6BB,Opp(BB): bets 5.6BB; Opp(BTN): raises 11.2BB; Opp(BB): calls 4.0BB; ,24.8BB,,24.8BB,,0BB,0BB,24.8BB,,NO,NO,,IP R,YES,YES,,YES,
RC3334601964,Hero(BB),NA,,,SRP,NO,1v1,102BB,5s 7h,$0.02/$0.05,5h Jc 8c,6s,,Opp(UTG): folds; Opp(MP): raises 2.6BB; Opp(CO): folds; Opp(BTN): folds; Opp(SB): calls 2.2BB; Hero(BB): folds,Opp(MP): raises 2.6BB; Opp(CO): folds; Opp(BTN): folds; Opp(SB): calls 2.2BB; Hero(BB): folds,,,,,,,6.2BB,Opp(SB): checks; Opp(MP): checks; ,6.2BB,Opp(SB): checks; Opp(MP): bets 3.0BB; Opp(SB): folds; ,6.2BB,,0BB,-1.0BB,6.2BB,,NO,NO,,,NO,YES,IP check,YES,
RC3334601905,Hero(BTN),NA,,,SRP,NO,fold,102BB,Kc Tc,$0.02/$0.05,,,,Opp(UTG): folds; Opp(MP): raises 2.4BB; Opp(CO): folds; Hero(BTN): folds; Opp(SB): folds; Opp(BB): folds,Opp(MP): raises 2.4BB; Opp(CO): folds; Hero(BTN): folds; Opp(SB): folds; Opp(BB): folds,,,,,,,2.4BB,,0BB,,0BB,,0BB,0BB,2.4BB,,,,,,NO,,,,
RC3334601876,Hero(SB),NA,,,3B,NO,fold,103BB,7s Js,$0.02/$0.05,,,,Opp(UTG): raises 2.6BB; Opp(MP): folds; Opp(CO): folds; Opp(BTN): raises 7.6BB; Hero(SB): folds; Opp(BB): folds; Opp(UTG): folds,Opp(UTG): raises 2.6BB; Opp(MP): folds; Opp(CO): folds,Opp(BTN): raises 7.6BB; Hero(SB): folds; Opp(BB): folds; Opp(UTG): folds,,,,,,6.6BB,,0BB,,0BB,,0BB,-0.4BB,6.6BB,,,,,,NO,,,,
RC3334601846,Hero(UTG),NA,,,SRP,NO,1v1,103BB,Jc 8d,$0.02/$0.05,3d 6s 6d,As,4d,Hero(UTG): folds; Opp(MP): folds; Opp(CO): folds; Opp(BTN): raises 2.0BB; Opp(SB): folds; Opp(BB): calls 1.0BB,Opp(BTN): raises 2.0BB; Opp(SB): folds; Opp(BB): calls 1.0BB,,,,,,,4.4BB,Opp(BB): checks; Opp(BTN): bets 1.6BB; Opp(BB): calls 1.6BB; ,7.6BB,Opp(BB): checks; Opp(BTN): bets 4.0BB; Opp(BB): calls 4.0BB; ,15.6BB,Opp(BB): bets 5.2BB; Opp(BTN): folds; ,15.6BB,0BB,15.6BB,,YES,NO,OOP call,,NO,YES,,,
RC3334601614,Hero(BTN),IP,BTN,,SRP,NO,1v1,100BB,Jd Js,$0.02/$0.05,9d 3h 3s,,,Opp(UTG): folds; Opp(MP): folds; Opp(CO): folds; Hero(BTN): raises 2.0BB; Opp(SB): calls 1.6BB; Opp(BB): folds,Hero(BTN): raises 2.0BB; Opp(SB): calls 1.6BB; Opp(BB): folds,,,,,,,5.0BB,Opp(SB): checks; Hero(BTN): bets 2.8BB; Opp(SB): folds; ,5.0BB,,0BB,,0BB,2.8BB,5.0BB,,YES,NO,OOP fold,,NO,YES,,,
RC3334601319,Hero(UTG),IP,UTG,,SRP,NO,multi,100BB,Jh Ks,$0.02/$0.05,5s Ac 2s,Ah,,Hero(UTG): raises 2.0BB; Opp(MP): folds; Opp(CO): folds; Opp(BTN): folds; Opp(SB): calls 1.6BB; Opp(BB): calls 1.0BB,Hero(UTG): raises 2.0BB; Opp(MP): folds; Opp(CO): folds; Opp(BTN): folds; Opp(SB): calls 1.6BB; Opp(BB): calls 1.0BB,,,,,,,6.0BB,Opp(SB): checks; Opp(BB): checks; Hero(UTG): checks; ,6.0BB,Opp(SB): bets 2.0BB; Opp(BB): folds; Hero(UTG): folds; ,6.0BB,,0BB,-2.0BB,6.0BB,,NO,NO,,,NO,YES,IP check,YES,
RC3334601236,Hero(BTN),NA,,,3B,NO,1v1,100BB,Qd 3h,$0.02/$0.05,Ad 4h Jh,,,Opp(UTG): raises 2.6BB; Opp(MP): folds; Opp(CO): folds; Hero(BTN): folds; Opp(SB): folds; Opp(BB): raises 12.0BB; Opp(UTG): calls 9.4BB,Opp(UTG): raises 2.6BB; Opp(MP): folds; Opp(CO): folds; Hero(BTN): folds; Opp(SB): folds,Opp(BB): raises 12.0BB; Opp(UTG): calls 9.4BB,,,,,,25.4BB,Opp(BB): bets 10.0BB; Opp(UTG): folds; ,25.4BB,,0BB,,0BB,0BB,24.4BB,,,NO,,IP fold,YES,,,,
RC3334601201,Hero(UTG),NA,,,SRP,NO,fold,100BB,2s Ad,$0.02/$0.05,,,,Hero(UTG): folds; Opp(MP): folds; Opp(CO): raises 2.4BB; Opp(BTN): folds; Opp(SB): folds; Opp(BB): folds,Opp(CO): raises 2.4BB; Opp(BTN): folds; Opp(SB): folds; Opp(BB): folds,,,,,,,2.4BB,,0BB,,0BB,,0BB,0BB,2.4BB,,,,,,NO,,,,
RC3334601145,Hero(UTG),NA,,,SRP,NO,fold,100BB,Ts Jd,$0.02/$0.05,,,,Hero(UTG): folds; Opp(MP): folds; Opp(CO): raises 2.2BB; Opp(BTN): folds; Opp(SB): folds; Opp(BB): folds,Opp(CO): raises 2.2BB; Opp(BTN): folds; Opp(SB): folds; Opp(BB): folds,,,,,,,2.4BB,,0BB,,0BB,,0BB,0BB,2.4BB,,,,,,NO,,,,
RC3334601103,Hero(MP),NA,,,limped,NO,fold,100BB,6h 6d,$0.02/$0.05,,,,Opp(UTG): folds; Hero(MP): folds; Opp(CO): folds; Opp(BTN): folds; Opp(SB): folds,,,,,,,,0.8BB,,0BB,,0BB,,0BB,0BB,0.8BB,,,,,,NO,,,,
RC3334601029,Hero(BB),IP,,,limped,NO,fold,100BB,8c 8s,$0.02/$0.05,,,,Opp(UTG): folds; Opp(MP): folds; Opp(CO): folds; Opp(BTN): folds; Opp(SB): folds,,,,,,,,0.8BB,,0BB,,0BB,,0BB,0.4BB,0.8BB,,,,,,NO,,,,
RC3334600976,Hero(SB),NA,,,limped,NO,fold,100BB,3c Kd,$0.02/$0.05,,,,Opp(UTG): folds; Opp(MP): folds; Opp(CO): folds; Opp(BTN): folds; Hero(SB): folds,,,,,,,,0.8BB,,0BB,,0BB,,0BB,-0.4BB,0.8BB,,,,,,NO,,,,
RC3334600779,Hero(UTG),OOP,UTG,,3B,NO,multi,100BB,8s 8h,$0.02/$0.05,5c Kh As,2c,5h,Hero(UTG): raises 2.0BB; Opp(MP): raises 6.0BB; Opp(CO): folds; Opp(BTN): calls 6.0BB; Opp(SB): folds; Opp(BB): folds; Hero(UTG): calls 4.0BB,Hero(UTG): raises 2.0BB,Opp(MP): raises 6.0BB; Opp(CO): folds; Opp(BTN): calls 6.0BB; Opp(SB): folds; Opp(BB): folds; Hero(UTG): calls 4.0BB,,,,,,19.4BB,Hero(UTG): checks; Opp(MP): bets 5.0BB; Opp(BTN): calls 5.0BB; Hero(UTG): folds; ,29.4BB,Opp(MP): checks; Opp(BTN): bets 18.0BB; Opp(MP): raises 40.0BB; Opp(BTN): raises 94.2BB; Opp(MP): calls 54.2BB; ,235.8BB,,0BB,-6.0BB,217.8BB,,NO,NO,,,NO,YES,,YES,
RC3334600748,Hero(UTG),NA,,,limped,NO,fold,100BB,9d 3d,$0.02/$0.05,,,,Hero(UTG): folds; Opp(MP): folds; Opp(CO): folds; Opp(BTN): folds; Opp(SB): folds,,,,,,,,0.8BB,,0BB,,0BB,,0BB,0BB,0.8BB,,,,,,NO,,,,
RC3334600716,Hero(SB),NA,,,SRP,NO,fold,100BB,6c Jd,$0.02/$0.05,,,,Opp(UTG): folds; Opp(MP): raises 2.0BB; Opp(CO): folds; Opp(BTN): folds; Hero(SB): folds; Opp(BB): folds,Opp(MP): raises 2.0BB; Opp(CO): folds; Opp(BTN): folds; Hero(SB): folds; Opp(BB): folds,,,,,,,2.4BB,,0BB,,0BB,,0BB,-0.4BB,2.4BB,,,,,,NO,,,,
RC3334600687,Hero(MP),NA,,,SRP,NO,1v1,100BB,6h Jd,$0.02/$0.05,8c 9h 6d,2h,,Opp(UTG): folds; Hero(MP): folds; Opp(CO): folds; Opp(BTN): raises 2.2BB; Opp(SB): calls 1.8BB; Opp(BB): folds,Opp(BTN): raises 2.2BB; Opp(SB): calls 1.8BB; Opp(BB): folds,,,,,,,5.4BB,Opp(SB): checks; Opp(BTN): checks; ,5.4BB,Opp(SB): bets 4.2BB; Opp(BTN): folds; ,5.4BB,,0BB,0BB,5.4BB,,NO,NO,,,NO,YES,IP check,YES,
RC3334600370,Hero(SB),OOP,,,limped,NO,1v1,100BB,9h Ah,$0.02/$0.05,4d 3h 7d,Js,Td,Opp(UTG): folds; Opp(MP): folds; Opp(CO): folds; Opp(BTN): folds; Hero(SB): calls 0.6BB; Opp(BB): checks,,,,,Hero(SB): calls 0.6BB,,,2.0BB,Hero(SB): checks; Opp(BB): checks; ,2.0BB,Hero(SB): checks; Opp(BB): checks; ,2.0BB,Hero(SB): checks; Opp(BB): checks; ,2.0BB,-1.0BB,2.0BB,,NO,NO,,,NO,YES,IP check,YES,
RC3334600341,Hero(BTN),NA,,,SRP,NO,fold,100BB,7h 2d,$0.02/$0.05,,,,Opp(UTG): folds; Opp(MP): folds; Opp(CO): raises 2.0BB; Hero(BTN): folds; Opp(SB): folds; Opp(BB): folds,Opp(CO): raises 2.0BB; Hero(BTN): folds; Opp(SB): folds; Opp(BB): folds,,,,,,,2.4BB,,0BB,,0BB,,0BB,0BB,2.4BB,,,,,,NO,,,,
RC3334600316,Hero(CO),NA,,,SRP,NO,fold,100BB,3d Qh,$0.02/$0.05,,,,Opp(UTG): folds; Opp(MP): folds; Hero(CO): folds; Opp(BTN): raises 2.2BB; Opp(SB): folds; Opp(BB): folds,Opp(BTN): raises 2.2BB; Opp(SB): folds; Opp(BB): folds,,,,,,,2.4BB,,0BB,,0BB,,0BB,0BB,2.4BB,,,,,,NO,,,,
RC3334600172,Hero(BB),NA,,,SRP,NO,fold,100BB,Ks 8h,$0.02/$0.05,,,,Opp(UTG): raises 2.0BB; Opp(MP): folds; Opp(CO): folds; Opp(BTN): folds; Opp(SB): folds; Hero(BB): folds,Opp(UTG): raises 2.0BB; Opp(MP): folds; Opp(CO): folds; Opp(BTN): folds; Opp(SB): folds; Hero(BB): folds,,,,,,,2.4BB,,0BB,,0BB,,0BB,-1.0BB,2.4BB,,,,,,NO,,,,
RC3334600145,Hero(MP),NA,,,SRP,NO,fold,100BB,6h Qs,$0.02/$0.05,,,,Opp(UTG): folds; Hero(MP): folds; Opp(CO): folds; Opp(BTN): raises 2.0BB; Opp(SB): folds; Opp(BB): folds,Opp(BTN): raises 2.0BB; Opp(SB): folds; Opp(BB): folds,,,,,,,2.4BB,,0BB,,0BB,,0BB,0BB,2.4BB,,,,,,NO,,,,
RC3334600116,Hero(CO),NA,,,SRP,NO,fold,100BB,7d 9c,$0.02/$0.05,,,,Opp(UTG): folds; Opp(MP): folds; Hero(CO): folds; Opp(BTN): folds; Opp(SB): raises 2.0BB; Opp(BB): folds,Opp(SB): raises 2.0BB; Opp(BB): folds,,,,,,,2.4BB,,0BB,,0BB,,0BB,0BB,2.0BB,,,,,,NO,,,,
RC3334600062,Hero(MP),NA,,,SRP,NO,fold,100BB,4d Jd,$0.02/$0.05,,,,Opp(UTG): folds; Hero(MP): folds; Opp(CO): raises 2.0BB; Opp(BTN): folds; Opp(SB): folds; Opp(BB): folds,Opp(CO): raises 2.0BB; Opp(BTN): folds; Opp(SB): folds; Opp(BB): folds,,,,,,,2.4BB,,0BB,,0BB,,0BB,0BB,2.4BB,,,,,,NO,,,,
RC3334600023,Hero(MP),NA,,,limped,NO,fold,100BB,Tc 2c,$0.02/$0.05,,,,Opp(UTG): folds; Hero(MP): folds; Opp(CO): folds; Opp(BTN): folds; Opp(SB): folds,,,,,,,,0.8BB,,0BB,,0BB,,0BB,0BB,0.8BB,,,,,,NO,,,,
RC3334599998,Hero(CO),NA,,,limped,NO,fold,100BB,5d 9s,$0.02/$0.05,,,,Opp(UTG): folds; Opp(MP): folds; Hero(CO): folds; Opp(BTN): folds; Opp(SB): folds,,,,,,,,0.8BB,,0BB,,0BB,,0BB,0BB,0.8BB,,,,,,NO,,,,
RC3334599969,Hero(SB),NA,,,limped,NO,fold,100BB,2d Jd,$0.02/$0.05,,,,Opp(UTG): folds; Opp(MP): folds; Opp(CO): folds; Opp(BTN): folds; Hero(SB): folds,,,,,,,,0.8BB,,0BB,,0BB,,0BB,-0.4BB,0.8BB,,,,,,NO,,,,
RC3334599912,Hero(BTN),NA,,,SRP,NO,fold,100BB,Td 2h,$0.02/$0.05,,,,Opp(UTG): folds; Opp(MP): folds; Opp(CO): folds; Hero(BTN): folds; Opp(SB): raises 3.0BB; Opp(BB): folds,Opp(SB): raises 3.0BB; Opp(BB): folds,,,,,,,2.4BB,,0BB,,0BB,,0BB,0BB,2.0BB,,,,,,NO,,,,
RC3334599884,Hero(SB),NA,,,limped,NO,fold,100BB,8d Jh,$0.02/$0.05,,,,Opp(UTG): folds; Opp(MP): folds; Opp(CO): folds; Opp(BTN): folds; Hero(SB): folds,,,,,,,,0.8BB,,0BB,,0BB,,0BB,-0.4BB,0.8BB,,,,,,NO,,,,
RC3334599701,Hero(BB),OOP,,,SRP,NO,1v1,100BB,7c 5c,$0.02/$0.05,Ac Qd Js,,,Opp(UTG): folds; Opp(MP): raises 2.0BB; Opp(CO): folds; Opp(BTN): folds; Opp(SB): folds; Hero(BB): calls 1.0BB,Opp(MP): raises 2.0BB; Opp(CO): folds; Opp(BTN): folds; Opp(SB): folds; Hero(BB): calls 1.0BB,,,,,,,4.4BB,Hero(BB): checks; Opp(MP): bets 1.6BB; Hero(BB): folds; ,4.4BB,,0BB,,0BB,-2.0BB,4.4BB,,YES,NO,OOP fold,,NO,YES,,,
RC3334599672,Hero(BB),NA,,,SRP,NO,fold,100BB,4h Ts,$0.02/$0.05,,,,Opp(UTG): folds; Opp(MP): raises 2.0BB; Opp(CO): folds; Opp(BTN): folds; Opp(SB): folds; Hero(BB): folds,Opp(MP): raises 2.0BB; Opp(CO): folds; Opp(BTN): folds; Opp(SB): folds; Hero(BB): folds,,,,,,,2.4BB,,0BB,,0BB,,0BB,-1.0BB,2.4BB,,,,,,NO,,,,
RC3334599645,Hero(BTN),NA,,,SRP,NO,fold,100BB,Kd 3h,$0.02/$0.05,,,,Opp(UTG): raises 2.2BB; Opp(MP): folds; Opp(CO): folds; Hero(BTN): folds; Opp(SB): folds; Opp(BB): folds,Opp(UTG): raises 2.2BB; Opp(MP): folds; Opp(CO): folds; Hero(BTN): folds; Opp(SB): folds; Opp(BB): folds,,,,,,,2.4BB,,0BB,,0BB,,0BB,0BB,2.4BB,,,,,,NO,,,,
RC3334599621,Hero(UTG),NA,,,SRP,NO,fold,100BB,4h 2d,$0.02/$0.05,,,,Hero(UTG): folds; Opp(MP): folds; Opp(CO): folds; Opp(BTN): folds; Opp(SB): raises 3.0BB; Opp(BB): folds,Opp(SB): raises 3.0BB; Opp(BB): folds,,,,,,,2.4BB,,0BB,,0BB,,0BB,0BB,2.0BB,,,,,,NO,,,,
