hand_id,hero_position,hero_position_type,hero_open_position,hero_3b_position,pot_type,hero_squeeze,final_pot_type,hero_stack,hero_cards,SB_BB,flop_cards,turn_card,river_card,preflop_actions,preflop_action_1st_bet,preflop_action_3B,preflop_action_4B,preflop_action_5B,preflop_action_limp,preflop_action_limp_fold,preflop_action_limp_call,Preflop_Pot,flop_actions,Flop_Pot,turn_actions,Turn_Pot,river_actions,River_Pot,Result(Hero),Total_Pot,cash_drop,IP_Cbet_Flop,OOP_Cbet_Flop,IP_Cbet_Response,OOP_Cbet_Response,OOP_Donk_Flop,Miss_Cbet_OOP,Miss_Cbet_OOP_Response,Miss_Cbet_IP,Miss_Cbet_IP_Response
RC3334599754,Hero(BTN),NA,,,SRP,NO,fold,171BB,Qs 4c,$0.02/$0.05,,,,Opp(UTG): raises 2.6BB; Opp(MP): folds; Opp(CO): folds; Hero(BTN): folds; Opp(SB): folds; Opp(BB): folds,Opp(UTG): raises 2.6BB; Opp(MP): folds; Opp(CO): folds; Hero(BTN): folds; Opp(SB): folds; Opp(BB): folds,,,,,,,2.4BB,,0BB,,0BB,,0BB,0BB,2.4BB,,,,,,NO,,,,
RC3334599707,Hero(BB),NA,,,SRP,NO,fold,172BB,Qh 4d,$0.02/$0.05,,,,Opp(UTG): folds; Opp(MP): raises 2.0BB; Opp(CO): folds; Opp(BTN): folds; Opp(SB): folds; Hero(BB): folds,Opp(MP): raises 2.0BB; Opp(CO): folds; Opp(BTN): folds; Opp(SB): folds; Hero(BB): folds,,,,,,,2.4BB,,0BB,,0BB,,0BB,-1.0BB,2.4BB,,,,,,NO,,,,
RC3334599680,Hero(BTN),NA,,,limped,NO,fold,172BB,7d Jc,$0.02/$0.05,,,,Opp(UTG): folds; Opp(MP): folds; Opp(CO): folds; Hero(BTN): folds; Opp(SB): folds,,,,,,,,0.8BB,,0BB,,0BB,,0BB,0BB,0.8BB,,,,,,NO,,,,
RC3334599649,Hero(SB),NA,,,3B,NO,1v1,173BB,Ts 6h,$0.02/$0.05,Ks 9h 8s,,,Opp(UTG): folds; Opp(MP): raises 3.0BB; Opp(CO): raises 11.0BB; Opp(BTN): folds; Hero(SB): folds; Opp(BB): folds; Opp(MP): calls 8.0BB,Opp(MP): raises 3.0BB,Opp(CO): raises 11.0BB; Opp(BTN): folds; Hero(SB): folds; Opp(BB): folds; Opp(MP): calls 8.0BB,,,,,,23.4BB,Opp(MP): checks; Opp(CO): bets 11.8BB; Opp(MP): folds; ,23.4BB,,0BB,,0BB,-0.4BB,23.4BB,,YES,NO,OOP fold,,NO,YES,,,
RC3334599238,Hero(BB),OOP,,,SRP,NO,multi,154BB,Ks 9s,$0.02/$0.05,4d Qh 9c,5h,9d,Opp(UTG): raises 2.2BB; Opp(MP): calls 2.2BB; Opp(CO): folds; Opp(BTN): calls 2.2BB; Opp(SB): folds; Hero(BB): calls 1.2BB,Opp(UTG): raises 2.2BB; Opp(MP): calls 2.2BB; Opp(CO): folds; Opp(BTN): calls 2.2BB; Opp(SB): folds; Hero(BB): calls 1.2BB,,,,,,,9.2BB,Hero(BB): checks; Opp(UTG): checks; Opp(MP): bets 3.2BB; Opp(BTN): folds; Hero(BB): calls 3.2BB; Opp(UTG): folds; ,15.6BB,Hero(BB): checks; Opp(MP): checks; ,15.6BB,Hero(BB): bets 12.0BB; Opp(MP): calls 12.0BB; ,39.6BB,19.0BB,39.6BB,,NO,NO,,,NO,YES,,YES,
RC3334599211,Hero(MP),NA,,,SRP,NO,1v1,154BB,4s Js,$0.02/$0.05,8s 8d 3s,5c,3h,Opp(UTG): raises 2.0BB; Hero(MP): folds; Opp(CO): folds; Opp(BTN): calls 2.0BB; Opp(SB): folds; Opp(BB): folds,Opp(UTG): raises 2.0BB; Hero(MP): folds; Opp(CO): folds; Opp(BTN): calls 2.0BB; Opp(SB): folds; Opp(BB): folds,,,,,,,5.4BB,Opp(UTG): checks; Opp(BTN): checks; ,5.4BB,Opp(UTG): checks; Opp(BTN): bets 1.6BB; Opp(UTG): calls 1.6BB; ,8.6BB,Opp(UTG): checks; Opp(BTN): checks; ,8.6BB,0BB,8.6BB,,NO,NO,,,NO,YES,IP check,YES,
RC3334599184,Hero(UTG),NA,,,SRP,NO,fold,154BB,9c 3s,$0.02/$0.05,,,,Hero(UTG): folds; Opp(MP): folds; Opp(CO): raises 2.2BB; Opp(BTN): folds; Opp(SB): folds; Opp(BB): folds,Opp(CO): raises 2.2BB; Opp(BTN): folds; Opp(SB): folds; Opp(BB): folds,,,,,,,2.4BB,,0BB,,0BB,,0BB,0BB,2.4BB,,,,,,NO,,,,
RC3334599159,Hero(UTG),NA,,,SRP,NO,1v1,154BB,2h Js,$0.02/$0.05,As Kd 4d,Jc,5d,Hero(UTG): folds; Opp(MP): folds; Opp(CO): raises 2.2BB; Opp(BTN): folds; Opp(SB): folds; Opp(BB): calls 1.2BB,Opp(CO): raises 2.2BB; Opp(BTN): folds; Opp(SB): folds; Opp(BB): calls 1.2BB,,,,,,,4.8BB,Opp(BB): checks; Opp(CO): bets 1.6BB; Opp(BB): calls 1.6BB; ,8.0BB,Opp(BB): checks; Opp(CO): checks; ,8.0BB,Opp(BB): checks; Opp(CO): bets 4.0BB; Opp(BB): calls 4.0BB; ,16.0BB,0BB,16.0BB,,YES,NO,OOP call,,NO,YES,,,
RC3334598963,Hero(UTG),NA,UTG,,3B,NO,fold,156BB,Jh Ac,$0.02/$0.05,,,,Hero(UTG): raises 2.0BB; Opp(MP): folds; Opp(CO): raises 6.2BB; Opp(BTN): folds; Opp(SB): folds; Opp(BB): folds; Hero(UTG): folds,Hero(UTG): raises 2.0BB; Opp(MP): folds,Opp(CO): raises 6.2BB; Opp(BTN): folds; Opp(SB): folds; Opp(BB): folds; Hero(UTG): folds,,,,,,5.4BB,,0BB,,0BB,,0BB,-2.0BB,5.4BB,,,,,,NO,,,,
RC3334598939,Hero(BTN),NA,,,SRP,NO,fold,156BB,2h 5d,$0.02/$0.05,,,,Opp(UTG): folds; Opp(MP): raises 2.0BB; Opp(CO): folds; Hero(BTN): folds; Opp(SB): folds; Opp(BB): folds,Opp(MP): raises 2.0BB; Opp(CO): folds; Hero(BTN): folds; Opp(SB): folds; Opp(BB): folds,,,,,,,2.4BB,,0BB,,0BB,,0BB,0BB,2.4BB,,,,,,NO,,,,
