hand_id,hero_position,hero_stack,hero_cards,SB_BB,flop_cards,turn_card,river_card,preflop_line1,preflop_line2,preflop_line3,Preflop_Pot,flop_actions,Flop_Pot,turn_actions,Turn_Pot,river_actions,River_Pot,Result(Hero),Total_Pot,cash_drop
RC3335714775,SB,100BB,Ks Kc,$0.05/$0.1,5c Tc 3d,Ad,Qh,Opp(UTG): folds; Opp(MP): folds; Opp(CO): folds; Opp(BTN): folds; Hero(SB): raises 3.0BB,Opp(BB): calls 2.0BB,,6.5BB,Hero(SB): checks; Opp(BB): checks,6.5BB,Hero(SB): checks; Opp(BB): checks,6.5BB,Hero(SB): checks; Opp(BB): checks; Hero: shows [Ks Kc] (Pair of Kings); db87221a: shows [9c 7c] (Ace-High),6.5BB,2.8BB,6.0BB,
RC3335694691,BB,100BB,7s 6h,$0.05/$0.1,,,,Opp(UTG): folds; Opp(MP): raises 2.0BB,Opp(CO): folds; Opp(BTN): folds; Opp(SB): folds; Hero(BB): folds,,2.5BB,,0BB,,0BB,,0BB,-1.0BB,2.5BB,
