hand_id,hero_position,hero_stack,hero_cards,flop_cards,turn_card,river_card,preflop_actions,flop_actions,turn_actions,river_actions,result
RC3334475254,1,9.26,2c 2s,,,,Hero: raises $0.05 to $0.1; ,,,,Opponent 1
RC3334475208,2,9.28,6d 7s,,,,Opponent: raises $0.05 to $0.1; ,,,,Opponent 4
RC3334475171,6,9.28,5d Jh,,,,,,,,Opponent 3
RC3334475143,5,9.28,6s 8d,,,,Opponent: raises $0.06 to $0.11; Opponent: raises $0.23 to $0.34; ,,,,Opponent 1
RC3334475116,6,9.28,5d 3s,,,,Opponent: raises $0.05 to $0.1; Opponent: raises $0.31 to $0.41; ,,,,Opponent 3
RC3334475092,5,9.28,3c As,,,,Opponent: raises $0.05 to $0.1; ,,,,Opponent 4
RC3334475059,4,9.28,6c 3d,9d 3c Ac,Jc,Qh,Opponent: calls $0.05; Opponent: checks; ,Opponent: checks; Opponent: checks; ,Opponent: checks; Opponent: checks; ,Opponent: checks; Opponent: bets $0.09; ,Opponent collected $0.12 from pot
RC3334474928,2,9.3,7h 7c,,,,Opponent: raises $0.05 to $0.1; Opponent: raises $0.25 to $0.35; Opponent: calls $0.3; Opponent: raises $1.11 to $1.46; ,,,,Opponent 4
RC3334444457,3,9.4,7s 7d,As 8c Js,2c,,Opponent: raises $0.05 to $0.1; Opponent: calls $0.1; Hero: calls $0.05; ,Hero: checks; Opponent: bets $0.17; Opponent: calls $0.17; ,Opponent: bets $0.51; ,,Opponent collected $0.63 from pot
RC3334444397,1,9.4,4h 3h,,,,,,,,Opponent 3
RC3334444349,5,9.4,6s 5c,,,,,,,,Opponent 3
RC3334444232,2,9.35,Jc Ah,,,,Hero: raises $0.1 to $0.15; ,,,,Opponent 2
RC3334443835,6,8.69,As Ac,6c Qc 3s,8h,Ad,Opponent: raises $0.08 to $0.13; Hero: raises $0.25 to $0.38; Opponent: calls $0.25; ,Opponent: checks; Hero: bets $0.28; Opponent: calls $0.28; ,Opponent: checks; Hero: checks; ,Opponent: checks; Hero: bets $0.7; ,Hero collected $1.32 from pot
RC3334443783,6,8.69,3s 8d,6h 5c Tc,,,Opponent: calls $0.05; Opponent: checks; ,Opponent: checks; Opponent: bets $0.06; ,,,Opponent collected $0.12 from pot
RC3334443762,1,8.69,3c 4h,,,,Opponent: raises $0.06 to $0.11; ,,,,Opponent 6
RC3334443572,3,8.79,Kd Qc,Td Ts 6d,,,Opponent: raises $0.05 to $0.1; Hero: calls $0.05; ,Hero: checks; Opponent: bets $0.16; ,,,Opponent collected $0.21 from pot
