hand_id,hero_position,hero_stack,hero_cards,flop_cards,turn_card,river_card,preflop_actions,flop_actions,turn_actions,river_actions,result
RC3334603619,6,5.0,9c Ac,7s 3h Tc,8s,3d,Hero: raises $0.05 to $0.1; Opponent: calls $0.05; ,Opponent: checks; Hero: checks; ,Opponent: bets $0.08; Hero: calls $0.08; ,Opponent: bets $0.29; ,Opponent collected $0.37 from pot
RC3334603565,6,5.0,Qh 4c,,,,,,,,Opponent 3
RC3334603458,3,5.0,6s 7s,Qh 9s Kd,,,Opponent: raises $0.05 to $0.1; Opponent: raises $0.21 to $0.31; Opponent: calls $0.21; ,Opponent: checks; Opponent: bets $0.24; ,,,Opponent collected $0.66 from pot
RC3334603430,1,5.0,3s Ts,Ad 3d 8s,3c,,Opponent: raises $0.1 to $0.15; Opponent: calls $0.13; Opponent: calls $0.1; ,Opponent: checks; Opponent: checks; Opponent: checks; ,Opponent: bets $0.15; ,,Opponent collected $0.43 from pot
RC3334603399,2,5.0,9d Qs,,,,Opponent: raises $0.07 to $0.12; ,,,,Opponent 1
RC3334603366,5,5.0,Qs 5c,,,,Opponent: raises $0.05 to $0.1; Opponent: raises $0.28 to $0.38; ,,,,Opponent 1
RC3334603330,6,5.0,3c 2s,,,,Opponent: raises $0.06 to $0.11; Opponent: raises $0.44 to $0.55; ,,,,Opponent 2
RC3334603292,6,5.0,2h 7h,,,,Opponent: raises $0.1 to $0.15; ,,,,Opponent 5
RC3334603245,5,5.0,2h Ks,,,,,,,,Opponent 3
RC3334603213,5,5.0,2h Ah,3s Jc 7s,,,Opponent: raises $0.08 to $0.13; Opponent: calls $0.08; ,Opponent: checks; Opponent: bets $0.14; Opponent: raises $0.42 to $0.56; ,,,Opponent collected $0.54 from pot
RC3334603179,4,5.0,Td 5d,,,,Opponent: raises $0.12 to $0.17; ,,,,Opponent 1
RC3334603138,5,5.0,4d As,,,,Opponent: raises $0.08 to $0.13; ,,,,Opponent 2
RC3334603034,3,5.0,5s 7h,,,,Opponent: raises $0.05 to $0.1; ,,,,Opponent 4
RC3334603002,6,5.0,6d 3c,,,,,,,,Opponent 3
RC3334602934,2,5.0,7d 5c,,,,Opponent: raises $0.1 to $0.15; ,,,,Opponent 4
RC3334602902,1,5.0,Qd 7c,8s 5s 5d,,,Opponent: raises $0.08 to $0.13; Opponent: calls $0.08; ,Opponent: checks; Opponent: bets $0.1; ,,,Opponent collected $0.27 from pot
RC3334602867,1,5.0,4d 6h,,,,Opponent: raises $0.08 to $0.13; ,,,,Opponent 6
RC3334602838,6,5.0,8d Qs,,,,,,,,Opponent 3
RC3334602807,6,5.0,7c 9c,,,,,,,,Opponent 3
RC3334602322,3,5.0,Ac Ts,Jd 2s Ah,8s,,Opponent: raises $0.06 to $0.11; Hero: calls $0.06; ,Hero: checks; Opponent: bets $0.13; Hero: calls $0.13; ,Hero: checks; Opponent: bets $0.38; ,,Opponent collected $0.48 from pot
RC3334602256,2,5.0,7s 3c,7d Js Jd,Qh,Tc,Opponent: raises $0.05 to $0.1; Opponent: calls $0.05; ,Opponent: checks; Opponent: checks; ,Opponent: checks; Opponent: checks; ,Opponent: checks; Opponent: bets $0.08; Opponent: calls $0.08; Opponent: shows [7h Qc] (Pair of Queens and Pair of Jacks); Opponent: shows [8s Th] (Pair of Jacks and Pair of Tens); ,Opponent collected $0.37 from pot
RC3334602205,5,5.0,Qc 2d,,,,Opponent: raises $0.05 to $0.1; ,,,,Opponent 4
RC3334602022,3,5.07,9c Kc,Jd 5d 2h,,,Opponent: raises $0.05 to $0.1; Hero: calls $0.05; ,Hero: checks; Opponent: bets $0.11; ,,,Opponent collected $0.21 from pot
RC3334601994,6,5.07,3d 2c,7h 9s 9c,Ah,Td,Opponent: raises $0.08 to $0.13; Opponent: calls $0.08; ,Opponent: bets $0.28; Opponent: raises $0.28 to $0.56; Opponent: calls $0.2 and is all-in; Opponent: shows [7d Ac] (Pair of Nines and Pair of Sevens); Opponent: shows [9h Th] (Three Nines); ,,,Opponent collected $1.18 from pot
RC3334601964,3,5.12,5s 7h,5h Jc 8c,6s,,Opponent: raises $0.08 to $0.13; Opponent: calls $0.11; ,Opponent: checks; Opponent: checks; ,Opponent: checks; Opponent: bets $0.15; ,,Opponent collected $0.3 from pot
RC3334601905,1,5.12,Kc Tc,,,,Opponent: raises $0.07 to $0.12; ,,,,Opponent 5
RC3334601876,2,5.14,7s Js,,,,Opponent: raises $0.08 to $0.13; Opponent: raises $0.25 to $0.38; ,,,,Opponent 1
RC3334601846,4,5.14,Jc 8d,3d 6s 6d,As,4d,Opponent: raises $0.05 to $0.1; Opponent: calls $0.05; ,Opponent: checks; Opponent: bets $0.08; Opponent: calls $0.08; ,Opponent: checks; Opponent: bets $0.2; Opponent: calls $0.2; ,Opponent: bets $0.26; ,Opponent collected $0.75 from pot
RC3334601614,1,5.0,Jd Js,9d 3h 3s,,,Hero: raises $0.05 to $0.1; Opponent: calls $0.08; ,Opponent: checks; Hero: bets $0.14; ,,,Hero collected $0.24 from pot
RC3334601319,4,5.02,Jh Ks,5s Ac 2s,Ah,,Hero: raises $0.05 to $0.1; Opponent: calls $0.08; Opponent: calls $0.05; ,Opponent: checks; Opponent: checks; Hero: checks; ,Opponent: bets $0.1; ,,Opponent collected $0.29 from pot
RC3334601236,1,5.02,Qd 3h,Ad 4h Jh,,,Opponent: raises $0.08 to $0.13; Opponent: raises $0.47 to $0.6; Opponent: calls $0.47; ,Opponent: bets $0.5; ,,,Opponent collected $1.16 from pot
RC3334601201,4,5.02,2s Ad,,,,Opponent: raises $0.07 to $0.12; ,,,,Opponent 6
RC3334601145,4,5.02,Ts Jd,,,,Opponent: raises $0.06 to $0.11; ,,,,Opponent 6
RC3334601103,5,5.02,6h 6d,,,,,,,,Opponent 3
RC3334601029,3,5.0,8c 8s,,,,,,,,Opponent 3
RC3334600976,2,5.0,3c Kd,,,,,,,,Opponent 3
RC3334600779,4,5.0,8s 8h,5c Kh As,2c,5h,Hero: raises $0.05 to $0.1; Opponent: raises $0.2 to $0.3; Opponent: calls $0.3; Hero: calls $0.2; ,Hero: checks; Opponent: bets $0.25; Opponent: calls $0.25; ,Opponent: checks; Opponent: bets $0.9; Opponent: raises $1.1 to $2; Opponent: raises $2.71 to $4.71 and is all-in; Opponent: calls $2.71; Opponent: shows [2s 5s] (Pair of Fives and Pair of Twos); Opponent: shows [3d 4d] (Fives-High Straight); ,,Opponent collected $10.67 from pot
RC3334600748,4,5.0,9d 3d,,,,,,,,Opponent 3
RC3334600716,2,5.0,6c Jd,,,,Opponent: raises $0.05 to $0.1; ,,,,Opponent 5
RC3334600687,5,5.0,6h Jd,8c 9h 6d,2h,,Opponent: raises $0.06 to $0.11; Opponent: calls $0.09; ,Opponent: checks; Opponent: checks; ,Opponent: bets $0.21; ,,Opponent collected $0.26 from pot
RC3334600370,2,5.0,9h Ah,4d 3h 7d,Js,Td,Hero: calls $0.03; Opponent: checks; ,Hero: checks; Opponent: checks; ,Hero: checks; Opponent: checks; ,Hero: checks; Opponent: checks; Hero: shows [9h Ah] (Ace-High); Opponent: shows [4c Jh] (Pair of Jacks and Pair of Fours); ,Opponent collected $0.1 from pot
RC3334600341,1,5.0,7h 2d,,,,Opponent: raises $0.05 to $0.1; ,,,,Opponent 6
RC3334600316,6,5.0,3d Qh,,,,Opponent: raises $0.06 to $0.11; ,,,,Opponent 1
RC3334600172,3,5.0,Ks 8h,,,,Opponent: raises $0.05 to $0.1; ,,,,Opponent 4
RC3334600145,5,5.0,6h Qs,,,,Opponent: raises $0.05 to $0.1; ,,,,Opponent 1
RC3334600116,6,5.0,7d 9c,,,,Opponent: raises $0.05 to $0.1; ,,,,Opponent 2
RC3334600062,5,5.0,4d Jd,,,,Opponent: raises $0.05 to $0.1; ,,,,Opponent 6
RC3334600023,5,5.0,Tc 2c,,,,,,,,Opponent 3
RC3334599998,6,5.0,5d 9s,,,,,,,,Opponent 3
RC3334599969,2,5.0,2d Jd,,,,,,,,Opponent 3
RC3334599912,1,5.0,Td 2h,,,,Opponent: raises $0.1 to $0.15; ,,,,Opponent 2
RC3334599884,2,5.0,8d Jh,,,,,,,,Opponent 3
RC3334599701,3,5.0,7c 5c,Ac Qd Js,,,Opponent: raises $0.05 to $0.1; Hero: calls $0.05; ,Hero: checks; Opponent: bets $0.08; ,,,Opponent collected $0.21 from pot
RC3334599672,3,5.02,4h Ts,,,,Opponent: raises $0.05 to $0.1; ,,,,Opponent 5
RC3334599645,1,5.02,Kd 3h,,,,Opponent: raises $0.06 to $0.11; ,,,,Opponent 4
RC3334599621,4,5.02,4h 2d,,,,Opponent: raises $0.1 to $0.15; ,,,,Opponent 2
RC3334599433,1,5.12,Kh Jc,,,,Opponent: raises $0.05 to $0.1; Hero: calls $0.1; Opponent: raises $0.6 to $0.7; ,,,,Opponent 3
RC3334599394,2,5.07,5h 8d,,,,Opponent: raises $0.1 to $0.15; ,,,,Opponent 4
RC3334599366,3,5.12,7s Jh,,,,,,,,Opponent 3
RC3334599327,5,5.12,4h Ah,,,,Opponent: raises $0.05 to $0.1; ,,,,Opponent 2
RC3334599303,6,5.12,Ac 4s,,,,Opponent: raises $0.05 to $0.1; ,,,,Opponent 5
RC3334599281,4,5.12,4h 5s,,,,Opponent: raises $0.05 to $0.1; Opponent: raises $0.35 to $0.45; ,,,,Opponent 3
RC3334599247,1,5.12,Kd 6h,Th Qd 7s,5c,Kc,Opponent: raises $0.08 to $0.13; Opponent: raises $0.28 to $0.41; Opponent: calls $0.28; ,Opponent: bets $0.2; Opponent: calls $0.2; ,Opponent: checks; Opponent: checks; ,Opponent: checks; Opponent: checks; Opponent: shows [Ad 6d] (Ace-High); Opponent: shows [6c 6s] (Pair of Sixes); ,Opponent collected $1.21 from pot
RC3334599220,2,5.14,As 5h,,,,Opponent: raises $0.08 to $0.13; ,,,,Opponent 1
RC3334599166,2,5.16,4d Tc,,,,Opponent: raises $0.1 to $0.15; ,,,,Opponent 5
RC3334599087,4,5.09,Qc Ad,,,,Hero: raises $0.05 to $0.1; ,,,,Opponent 4
RC3334599060,5,5.09,3c As,Ah 7c 3s,5s,Ad,Opponent: raises $0.07 to $0.12; Opponent: calls $0.07; ,Opponent: checks; Opponent: bets $0.09; Opponent: calls $0.09; ,Opponent: checks; Opponent: checks; ,Opponent: bets $0.15; ,Opponent collected $0.42 from pot
RC3334598706,3,5.2,As 9s,6c 6s 5c,,,Opponent: raises $0.06 to $0.11; Hero: calls $0.06; ,Hero: checks; Opponent: bets $0.07; ,,,Opponent collected $0.23 from pot
RC3334598640,4,5.2,As 3d,,,,,,,,Opponent 3
RC3334598536,6,5.13,9h 9c,,,,Hero: raises $0.05 to $0.1; ,,,,Opponent 6
RC3334598503,6,5.13,Ac 7d,8s Qc 4s,,,Opponent: raises $0.05 to $0.1; Opponent: calls $0.05; ,Opponent: checks; Opponent: bets $0.22; ,,,Opponent collected $0.21 from pot
RC3334598474,4,5.13,8h 7d,Qh 4h Qc,,,Opponent: raises $0.06 to $0.11; Opponent: calls $0.06; ,Opponent: checks; Opponent: bets $0.12; ,,,Opponent collected $0.23 from pot
RC3334598447,3,5.18,5s Ts,,,,Opponent: raises $0.08 to $0.13; ,,,,Opponent 2
RC3334598417,6,5.18,As 4c,,,,Opponent: raises $0.11 to $0.16; ,,,,Opponent 2
RC3334598389,2,5.2,7s Qs,,,,Opponent: raises $0.08 to $0.13; ,,,,Opponent 5
RC3334598362,3,5.25,2d Kh,Ks Qd Ad,Th,Qh,Opponent: raises $0.05 to $0.1; Opponent: calls $0.1; Opponent: raises $0.27 to $0.37; Opponent: calls $0.27; Opponent: raises $1.16 to $1.53; Opponent: raises $3.83 to $5.36 and is all-in; Opponent: calls $3.83; Opponent: shows [9h 9d]; Opponent: shows [8s 8h]; ,,,,Opponent collected $10.92 from pot
RC3334598334,1,5.25,4s 6d,,,,Opponent: raises $0.1 to $0.15; ,,,,Opponent 2
RC3334598301,6,5.25,Ad 2h,,,,Opponent: raises $0.07 to $0.12; Opponent: raises $0.23 to $0.35; ,,,,Opponent 3
RC3334598269,1,5.25,9h 6c,,,,Opponent: raises $0.05 to $0.1; ,,,,Opponent 6
RC3334598239,4,5.25,9c 8h,,,,,,,,Opponent 3
RC3334598177,6,5.25,8s Ks,7h 3d Tc,,,Opponent: raises $0.06 to $0.11; Opponent: calls $0.06; ,Opponent: checks; Opponent: bets $0.06; ,,,Opponent collected $0.23 from pot
RC3334598124,1,5.25,Ks 3c,,,,,,,,Opponent 3
RC3334597796,3,5.35,Kc Jh,7d 6d Ts,4d,9s,Opponent: raises $0.05 to $0.1; Hero: calls $0.05; ,Hero: checks; Opponent: checks; ,Hero: checks; Opponent: checks; ,Hero: checks; Opponent: checks; Hero: shows [Kc Jh] (King-High); Opponent: shows [Ah 6h] (Pair of Sixes); ,Opponent collected $0.21 from pot
RC3334597767,1,5.35,Qd 6h,,,,Opponent: raises $0.05 to $0.1; ,,,,Opponent 2
RC3334597577,6,5.45,9h 9d,,,,Hero: raises $0.05 to $0.1; Opponent: raises $0.3 to $0.4; ,,,,Opponent 1
RC3334597128,6,5.27,9c 9h,3d Kd 5d,Kc,,Hero: raises $0.05 to $0.1; Opponent: calls $0.05; ,Opponent: checks; Hero: checks; ,Opponent: checks; Hero: bets $0.12; ,,Hero collected $0.21 from pot
RC3334597093,3,5.32,Qc 5h,,,,,,,,Opponent 3
RC3334597065,6,5.32,6s Td,,,,,,,,Opponent 3
RC3334597033,2,5.34,4d 5c,,,,Opponent: raises $0.05 to $0.1; ,,,,Opponent 5
RC3334597006,6,5.34,9h Ac,7c 9c 3c,3s,Kc,Opponent: raises $0.05 to $0.1; Opponent: calls $0.05; ,Opponent: checks; Opponent: checks; ,Opponent: bets $0.11; Opponent: calls $0.11; ,Opponent: checks; Opponent: checks; Opponent: shows [4s 5h] (Pair of Treys); Opponent: shows [Tc Ad] (King High Flush); ,Opponent collected $0.42 from pot
RC3334596978,2,5.36,3s 5s,,,,,,,,Opponent 3
RC3334596936,6,5.36,Qs 8s,7s Qc Qd,,,Opponent: raises $0.05 to $0.1; Opponent: calls $0.05; ,Opponent: checks; Opponent: bets $0.16; ,,,Opponent collected $0.21 from pot
RC3334596901,6,5.36,2h Ad,3d Ah Jc,Jh,8c,Opponent: raises $0.05 to $0.1; Opponent: calls $0.05; ,Opponent: bets $0.1; Opponent: raises $0.16 to $0.26; Opponent: calls $0.16; ,Opponent: checks; Opponent: checks; ,Opponent: checks; Opponent: bets $0.36; Opponent: calls $0.36; Opponent: shows [6h 9h] (Pair of Jacks); Opponent: shows [As 7c] (Pair of Aces and Pair of Jacks); ,Opponent collected $1.37 from pot
RC3334596874,5,5.36,6c 2s,,,,,,,,Opponent 3
RC3334596844,3,5.41,7d 3c,,,,Opponent: raises $0.07 to $0.12; ,,,,Opponent 5
RC3334596817,5,5.41,8d 2d,,,,,,,,Opponent 3
RC3334596784,4,5.41,Th Qc,,,,Opponent: raises $0.08 to $0.13; Opponent: raises $0.14 to $0.27; Opponent: raises $5.96 to $6.23 and is all-in; ,,,,Opponent 6
RC3334596757,2,5.43,Td 6d,,,,Opponent: raises $0.06 to $0.11; ,,,,Opponent 5
RC3334596729,1,5.43,4s 6c,,,,Opponent: raises $0.05 to $0.1; ,,,,Opponent 6
RC3334596703,6,5.43,Qs 2c,,,,,,,,Opponent 3
RC3334596676,4,5.43,7s Qs,,,,Opponent: raises $0.05 to $0.1; ,,,,Opponent 2
RC3334596499,6,5.53,Jh Ad,4d Ts 2s,5s,2d,Hero: raises $0.05 to $0.1; Opponent: raises $0.21 to $0.31; Opponent: calls $0.26; ,Opponent: checks; Opponent: checks; ,Opponent: checks; Opponent: checks; ,Opponent: checks; Opponent: checks; Opponent: shows [9c 9d] (Pair of Nines and Pair of Twos); Opponent: shows [Jc Kc] (Pair of Twos); ,Opponent collected $0.71 from pot
RC3334596407,3,5.58,2c 9d,,,,Opponent: raises $0.05 to $0.1; ,,,,Opponent 6
RC3334596382,5,5.58,9h 4d,,,,Opponent: raises $0.05 to $0.1; ,,,,Opponent 4
RC3334596348,1,5.58,3h Qh,,,,Opponent: raises $0.05 to $0.1; ,,,,Opponent 6
RC3334596324,4,5.58,3d Js,,,,Opponent: raises $0.07 to $0.12; ,,,,Opponent 1
RC3334596295,2,5.6,Kd 3c,,,,,,,,Opponent 3
RC3334596268,4,5.6,9h Kc,,,,Opponent: raises $0.08 to $0.13; ,,,,Opponent 1
RC3334595962,1,5.49,4h 4d,6d 4c 9s,,,Hero: raises $0.05 to $0.1; Opponent: calls $0.05; ,Opponent: checks; Hero: bets $0.18; ,,,Hero collected $0.21 from pot
RC3334595935,2,5.51,2s Td,,,,Opponent: raises $0.06 to $0.11; ,,,,Opponent 4
RC3334595800,3,5.49,8c 6c,,,,,,,,Opponent 3
RC3334595776,5,5.49,5h Kh,,,,Opponent: raises $0.05 to $0.1; ,,,,Opponent 6
RC3334595718,4,5.49,5h 9h,Kc 2h Js,Qc,,Opponent: raises $0.08 to $0.13; Opponent: calls $0.13; ,Opponent: checks; Opponent: checks; ,Opponent: bets $0.25; ,,Opponent collected $0.32 from pot
RC3334595603,3,5.54,8s 8c,7h 2c 7d,,,Opponent: raises $0.08 to $0.13; Opponent: raises $0.35 to $0.48; Opponent: calls $0.35; ,Opponent: bets $0.68; ,,,Opponent collected $0.96 from pot
RC3334595558,1,5.54,6h Jc,3h 9d Kc,6c,2s,Opponent: raises $0.05 to $0.1; Opponent: calls $0.1; ,Opponent: checks; Opponent: checks; ,Opponent: checks; Opponent: checks; ,Opponent: checks; Opponent: checks; Opponent: shows [Ac Th] (Ace-High); Opponent: shows [Tc Ad] (Ace-High); ,Opponent collected $0.13 from pot
RC3334595315,2,5.64,Kc Ts,Tc Qd 9d,3d,Ah,Hero: calls $0.03; Opponent: checks; ,Hero: checks; Opponent: bets $0.05; Hero: calls $0.05; ,Hero: checks; Opponent: checks; ,Hero: checks; Opponent: checks; Hero: shows [Kc Ts] (Pair of Tens); Opponent: shows [Qs 8h] (Pair of Queens); ,Opponent collected $0.19 from pot
RC3334595291,2,5.66,9c Qd,,,,Opponent: raises $0.06 to $0.11; ,,,,Opponent 1
RC3334595254,1,5.66,6c Ad,,,,Opponent: raises $0.08 to $0.13; ,,,,Opponent 2
RC3334595216,5,5.66,Ks 8c,Tc 2d Qs,9h,6s,Opponent: raises $0.07 to $0.12; Opponent: calls $0.07; ,Opponent: checks; Opponent: checks; ,Opponent: bets $0.14; Opponent: calls $0.14; ,Opponent: bets $0.19; Opponent: raises $0.45 to $0.64; ,Opponent collected $0.86 from pot
RC3334595191,6,5.66,6h 2h,As Qd 2c,Ad,6s,Opponent: raises $0.05 to $0.1; Opponent: calls $0.1; ,Opponent: checks; Opponent: checks; ,Opponent: checks; Opponent: checks; ,Opponent: checks; Opponent: bets $0.27; ,Opponent collected $0.26 from pot
RC3334595163,6,5.66,6c Th,,,,,,,,Opponent 3
RC3334595136,3,5.71,9d 6d,8s Jc 5s,Ah,Jd,Opponent: raises $0.06 to $0.11; Opponent: calls $0.11; ,Opponent: checks; Opponent: bets $0.16; Opponent: raises $0.21 to $0.37; Opponent: calls $0.21; ,Opponent: bets $0.34; Opponent: calls $0.34; ,Opponent: checks; Opponent: checks; Opponent: shows [6c 5c] (Pair of Jacks and Pair of Fives); Opponent: shows [9s Ts] (Pair of Jacks); ,Opponent collected $1.56 from pot
RC3334595102,6,5.71,9d 7c,Ts Qc As,9h,3h,Opponent: raises $0.06 to $0.11; Opponent: calls $0.11; ,Opponent: bets $0.1; Opponent: calls $0.1; ,Opponent: checks; Opponent: checks; ,Opponent: checks; Opponent: checks; Opponent: shows [Jd Qh] (Pair of Queens); Opponent: shows [Kc 8c] (Ace-High); ,Opponent collected $0.47 from pot
RC3334564738,1,6.37,Kd Kc,4h Qh Th,Jd,5s,Opponent: raises $0.08 to $0.13; Hero: raises $0.25 to $0.38; Opponent: calls $0.25; ,Opponent: checks; Hero: bets $0.28; Opponent: calls $0.28; ,Opponent: checks; Hero: checks; ,Opponent: bets $1.39; ,Opponent collected $1.32 from pot
RC3334564709,5,6.37,7s Ac,,,,Opponent: raises $0.06 to $0.11; ,,,,Opponent 2
RC3334564678,5,6.37,5s 8s,,,,,,,,Opponent 3
RC3334564480,6,6.69,As Js,3s 6h Kd,,,Opponent: raises $0.05 to $0.1; Hero: raises $0.22 to $0.32; Opponent: calls $0.22; ,Opponent: bets $0.36; ,,,Opponent collected $0.68 from pot
RC3334564453,2,6.71,2h 3d,,,,,,,,Opponent 3
RC3334564420,4,6.71,5h 2d,,,,Opponent: raises $0.1 to $0.15; ,,,,Opponent 1
RC3334564392,6,6.71,Th 7h,,,,Opponent: raises $0.1 to $0.15; ,,,,Opponent 1
RC3334564359,3,6.76,3s Tc,,,,Opponent: raises $0.07 to $0.12; ,,,,Opponent 5
RC3334564329,3,6.81,Kd 7s,,,,Opponent: calls $0.05; Opponent: raises $0.05 to $0.1; Opponent: raises $2.11 to $2.21 and is all-in; ,,,,Opponent 4
RC3334564298,1,6.81,6s Th,,,,Opponent: raises $0.08 to $0.13; ,,,,Opponent 5
RC3334564242,6,6.81,Tc 8c,,,,Opponent: raises $0.06 to $0.11; ,,,,Opponent 2
RC3334564202,5,6.81,3d 8c,,,,,,,,Opponent 3
RC3334564123,3,6.79,7c 3c,,,,,,,,Opponent 3
RC3334564082,2,6.81,Ad 8h,Ks As Ac,Qd,,Opponent: raises $0.05 to $0.1; Opponent: calls $0.05; ,Opponent: checks; Opponent: checks; ,Opponent: bets $0.22; ,,Opponent collected $0.21 from pot
RC3334564030,1,6.81,Ah Tc,,,,Opponent: raises $0.08 to $0.13; ,,,,Opponent 4
RC3334563942,1,6.81,8h Qh,,,,Opponent: raises $0.06 to $0.11; ,,,,Opponent 5
RC3334563911,4,6.81,3c Ac,,,,Opponent: raises $0.06 to $0.11; Opponent: raises $0.36 to $0.47; ,,,,Opponent 3
RC3334563614,6,7.13,Ad Qc,,,,Opponent: raises $0.05 to $0.1; Hero: raises $0.22 to $0.32; Opponent: raises $0.91 to $1.23; ,,,,Opponent 4
RC3334563584,3,7.18,7c Ks,3c 4s 3h,Ac,7h,Opponent: raises $0.1 to $0.15; Opponent: raises $0.2 to $0.35; Opponent: calls $0.2; ,Opponent: checks; Opponent: checks; ,Opponent: checks; Opponent: checks; ,Opponent: checks; Opponent: checks; Opponent: shows [Qc Jc] (Pair of Treys); Opponent: shows [Qd Jd] (Pair of Treys); ,Opponent collected $0.37 from pot
RC3334563552,2,7.2,7d Kh,,,,,,,,Opponent 3
RC3334563524,4,7.2,2s 8d,,,,Opponent: raises $0.08 to $0.13; Opponent: raises $0.42 to $0.55; ,,,,Opponent 2
RC3334563475,2,7.22,5d Td,,,,Opponent: raises $0.07 to $0.12; ,,,,Opponent 1
RC3334563192,5,7.4,Ad Ks,Qh Jc 9s,3c,,Hero: raises $0.05 to $0.1; Opponent: calls $0.05; ,Opponent: bets $0.08; Hero: calls $0.08; ,Opponent: bets $0.19; ,,Opponent collected $0.37 from pot
RC3334563167,5,7.4,3d Jc,,,,,,,,Opponent 3
RC3334563098,3,7.45,3d 6h,,,,Opponent: raises $0.05 to $0.1; ,,,,Opponent 4
RC3334563070,4,7.45,3h Jd,4h 6d 8d,,,Opponent: raises $0.1 to $0.15; Opponent: calls $0.1; ,Opponent: checks; Opponent: bets $0.24; ,,,Opponent collected $0.31 from pot
RC3334563032,6,7.45,Qh 6h,7c Kc 3h,,,Opponent: raises $0.05 to $0.1; Opponent: calls $0.05; ,Opponent: checks; Opponent: bets $0.08; ,,,Opponent collected $0.21 from pot
RC3334562987,5,7.45,9d 8c,,,,,,,,Opponent 3
RC3334562963,2,7.47,6d 7h,,,,Opponent: raises $0.06 to $0.11; ,,,,Opponent 4
RC3334562900,1,7.47,Td 7d,2d As 8h,6d,9s,Opponent: raises $0.07 to $0.12; Opponent: calls $0.07; ,Opponent: checks; Opponent: bets $0.09; Opponent: calls $0.09; ,Opponent: checks; Opponent: checks; ,Opponent: bets $0.35; Opponent: calls $0.35; Opponent: shows [Jc Ad] (Pair of Aces); Opponent: shows [Th 9h] (Pair of Nines); ,Opponent collected $1.09 from pot
RC3334562857,2,7.49,6h Qd,,,,Opponent: raises $0.06 to $0.11; Opponent: raises $0.44 to $0.55; ,,,,Opponent 5
RC3334562664,5,7.8,Qc Jc,4h 9s Ks,,,Hero: raises $0.05 to $0.1; Opponent: raises $0.21 to $0.31; Hero: calls $0.21; ,Hero: checks; Opponent: bets $0.54; ,,,Opponent collected $0.66 from pot
RC3334562639,3,7.85,6h Jc,,,,Opponent: raises $0.05 to $0.1; ,,,,Opponent 1
RC3334562601,1,7.85,8d 2s,,,,Opponent: raises $0.07 to $0.12; ,,,,Opponent 4
RC3334562563,6,7.85,3h 8c,Ts 3c Qh,,,Opponent: calls $0.05; Opponent: raises $0.17 to $0.22; Opponent: calls $0.17; ,Opponent: checks; Opponent: bets $0.15; ,,,Opponent collected $0.49 from pot
RC3334562539,4,7.85,3s 9d,,,,Opponent: calls $0.05; Opponent: raises $0.12 to $0.17; Opponent: raises $0.52 to $0.69; ,,,,Opponent 3
RC3334562310,1,7.95,Ac 8d,,,,Hero: raises $0.05 to $0.1; Opponent: raises $0.19 to $0.29; ,,,,Opponent 2
RC3334562222,1,7.88,Qd 9c,,,,Hero: raises $0.05 to $0.1; ,,,,Opponent 1
RC3334562190,3,7.93,Js 8h,,,,Opponent: raises $0.1 to $0.15; ,,,,Opponent 2
RC3334562128,4,7.93,2s 9c,Ks Td 7h,Jd,As,Opponent: raises $0.06 to $0.11; Opponent: calls $0.06; ,Opponent: checks; Opponent: bets $0.08; Opponent: calls $0.08; ,Opponent: checks; Opponent: checks; ,Opponent: checks; Opponent: bets $0.8; ,Opponent collected $0.38 from pot
RC3334562025,6,7.93,3h 3d,Qd 7c 3c,,,Opponent: raises $0.09 to $0.14; Opponent: raises $0.27 to $0.41; Opponent: calls $0.27; ,Opponent: bets $0.3; ,,,Opponent collected $0.85 from pot
RC3334561702,2,6.61,Js Jh,6h 8h 5s,3h,9c,Opponent: raises $0.05 to $0.1; Hero: raises $0.32 to $0.42; Opponent: calls $0.32; ,Hero: checks; Opponent: checks; ,Hero: bets $0.46; Opponent: calls $0.46; ,Hero: bets $0.6; Opponent: calls $0.6; Hero: shows [Js Jh] (Pair of Jacks); Opponent: shows [8d Ad] (Pair of Eights); ,Hero collected $2.8 from pot
RC3334561658,1,6.61,2c 2h,,,,,,,,Opponent 3
RC3334561611,3,6.66,7d Ac,Ks 5s 9s,,,Opponent: raises $0.05 to $0.1; Opponent: raises $0.25 to $0.35; Opponent: calls $0.25; ,Opponent: checks; Opponent: bets $0.39; ,,,Opponent collected $0.73 from pot
RC3334561573,2,6.68,5c Jd,2h Kc Th,As,4c,Opponent: raises $0.05 to $0.1; Opponent: calls $0.05; ,Opponent: checks; Opponent: checks; ,Opponent: checks; Opponent: checks; ,Opponent: checks; Opponent: checks; Opponent: shows [3s 6s] (Ace-High); Opponent: shows [7h 7c] (Pair of Sevens); ,Opponent collected $0.21 from pot
RC3334561541,6,6.68,8d Jc,,,,,,,,Opponent 3
RC3334561461,2,6.7,Qd Th,,,,Opponent: raises $0.08 to $0.13; ,,,,Opponent 6
RC3334561435,4,6.7,Kh 3h,,,,,,,,Opponent 3
RC3334561250,6,6.8,Kd Td,,,,Hero: raises $0.05 to $0.1; Opponent: raises $0.27 to $0.37; ,,,,Opponent 1
RC3334561220,4,6.8,4h Ac,,,,Opponent: raises $0.05 to $0.1; Opponent: raises $0.35 to $0.45; ,,,,Opponent 2
