hand_id,hero_position,hero_stack,hero_cards,flop_cards,turn_card,river_card,preflop_actions,Preflop_Pot,flop_actions,Flop_Pot,turn_actions,Turn_Pot,river_actions,River_Pot,Result(Hero),Total_Pot
RC3350623548,Hero(BTN),124BB,6s Qs,,,,Opp(SB): raises 3.0BB; ,2.4BB,,0BB,,0BB,,0BB,0BB,2.0BB
RC3350623453,Hero(BB),123BB,Jd Qs,,,,,0.8BB,,0BB,,0BB,,0BB,0.4BB,0.8BB
RC3350623437,Hero(CO),123BB,Ac 7s,,,,Opp(MP): raises 2.2BB; ,2.4BB,,0BB,,0BB,,0BB,0BB,2.4BB
RC3350623419,Hero(MP),123BB,2c Jd,Ks 7h Kc,5d,5h,Opp(BTN): raises 2.2BB; Opp(BB): raises 9.0BB; Opp(BTN): calls 6.8BB; ,19.4BB,Opp(BB): checks; Opp(BTN): checks; ,19.4BB,Opp(BB): checks; Opp(BTN): bets 3.8BB; Opp(BB): calls 3.8BB; ,27.0BB,Opp(BB): checks; Opp(BTN): bets 9.8BB; Opp(BB): calls 9.8BB; f1189fcf: shows [Td Th] (Pair of Kings and Pair of Tens); bf7a9304: shows [Ad Qs] (Pair of Kings and Pair of Fives); ,46.6BB,0BB,45.6BB
RC3350623166,Hero(UTG),141BB,6d 5d,8h Qc 7c,Jd,9h,Hero: raises 2.0BB; Opp(MP): calls 2.0BB; ,5.4BB,Hero: bets 2.0BB; Opp(MP): calls 2.0BB; ,9.4BB,Hero: checks; Opp(MP): bets 4.2BB; Hero: calls 4.2BB; ,17.8BB,Hero: checks; Opp(MP): bets 9.0BB; Hero: calls 9.0BB; 6e8048db: shows [Ts 9s] (Queens-High Straight); Hero: shows [6d 5d] (Nines-High Straight); ,35.8BB,-17.2BB,35.8BB
RC3350623081,Hero(BB),142BB,Kc Tc,9s Td As,3c,5s,Opp(UTG): raises 2.2BB; Opp(SB): raises 6.4BB; Opp(UTG): calls 4.2BB; ,14.2BB,Opp(SB): checks; Opp(UTG): checks; ,14.2BB,Opp(SB): checks; Opp(UTG): bets 4.6BB; Opp(SB): raises 16.2BB; Opp(UTG): calls 11.6BB; ,46.6BB,Opp(SB): bets 15.4BB; ,46.6BB,-1.0BB,46.2BB
RC3350623057,Hero(BTN),142BB,9c Td,8d 5s 6c,2s,8c,Opp(UTG): raises 2.0BB; Opp(MP): raises 6.2BB; Opp(UTG): calls 4.2BB; ,13.8BB,Opp(UTG): checks; Opp(MP): checks; ,13.8BB,Opp(UTG): checks; Opp(MP): checks; ,13.8BB,Opp(UTG): checks; Opp(MP): checks; 18074eec: shows [Ah Tc] (Pair of Eights); fdf9ddb2: shows [Ad Qd] (Pair of Eights); ,13.8BB,0BB,13.8BB
RC3350623041,Hero(SB),142BB,3c 7h,6d Jh 9d,,,Opp(UTG): raises 2.4BB; Opp(BB): calls 1.4BB; ,5.2BB,Opp(BB): checks; Opp(UTG): bets 2.6BB; ,5.2BB,,0BB,,0BB,-0.4BB,5.2BB
RC3350623016,Hero(CO),142BB,6d Kh,,,,,0.8BB,,0BB,,0BB,,0BB,0BB,0.8BB
RC3350622962,Hero(BB),142BB,Ts 3s,,,,,0.8BB,,0BB,,0BB,,0BB,0.4BB,0.8BB
