hand_id,hero_position,hero_stack,hero_cards,flop_cards,turn_card,river_card,preflop_actions,Preflop_Pot,flop_actions,Flop_Pot,turn_actions,Turn_Pot,river_actions,River_Pot,Result(Hero),Total_Pot
RC3356866976,Hero(MP),119BB,5d 7h,Qh 3s 9d,7d,,Opp(UTG): raises 2.6BB; Opp(SB): calls 2.2BB; ,6.2BB,Opp(SB): checks; Opp(UTG): checks; ,6.2BB,Opp(SB): checks; Opp(UTG): bets 3.2BB; ,6.2BB,,0BB,0BB,6.2BB
RC3356866755,Hero(UTG),121BB,Jc Qc,7c 4h 6d,7d,,Hero: raises 2.0BB; Opp(MP): calls 2.0BB; ,5.4BB,Hero: checks; Opp(MP): checks; ,5.4BB,Hero: checks; Opp(MP): bets 4.2BB; ,5.4BB,,0BB,-2.0BB,5.4BB
RC3356866709,Hero(CO),121BB,7d Ah,,,,Opp(SB): raises 3.0BB; Opp(BB): raises 9.0BB; ,7.4BB,,0BB,,0BB,,0BB,0BB,6.0BB
RC3356866686,Hero(CO),121BB,Ks 5h,,,,,0.8BB,,0BB,,0BB,,0BB,0BB,0.8BB
RC3356866526,Hero(SB),121BB,6s 3d,2c 2d 2h,,,Cash Drop to Pot : total $0.5; Opp(MP): raises 2.0BB; Opp(BB): calls 1.0BB; ,4.4BB,Opp(BB): checks; Opp(MP): bets 7.2BB; Opp(BB): raises 148.6BB; ,18.8BB,,0BB,,0BB,-0.4BB,28.8BB
RC3356866499,Hero(SB),121BB,4c Ts,,,,Opp(BTN): raises 2.6BB; ,2.4BB,,0BB,,0BB,,0BB,-0.4BB,2.4BB
RC3356866473,Hero(BB),122BB,2c Ts,,,,Opp(MP): raises 2.0BB; ,2.4BB,,0BB,,0BB,,0BB,-1.0BB,2.4BB
RC3356866295,Hero(UTG),120BB,Ad As,5h 4c Jh,,,Hero: raises 2.0BB; Opp(BB): calls 1.0BB; ,4.4BB,Opp(BB): checks; Hero: bets 1.6BB; ,4.4BB,,0BB,,0BB,2.1BB,4.4BB
RC3356866263,Hero(BTN),120BB,6s 8c,2s 4d Js,Qc,6c,Opp(UTG): raises 2.0BB; Opp(MP): calls 2.0BB; ,5.4BB,Opp(UTG): bets 2.0BB; Opp(MP): calls 2.0BB; ,9.4BB,Opp(UTG): bets 4.8BB; Opp(MP): calls 4.8BB; ,19.0BB,Opp(UTG): bets 19.0BB; Opp(MP): raises 58.6BB; Opp(UTG): calls 39.6BB; 65f99aa5: shows [4h 6h] (Pair of Sixes and Pair of Fours); 95810ed1: shows [Qd Kc] (Pair of Queens); ,136.2BB,0BB,136.2BB
RC3356866237,Hero(CO),120BB,Jc 2c,,,,Opp(UTG): raises 2.0BB; ,2.4BB,,0BB,,0BB,,0BB,0BB,2.4BB
RC3356866201,Hero(MP),120BB,Th Jd,,,,Opp(SB): raises 3.0BB; ,2.4BB,,0BB,,0BB,,0BB,0BB,2.0BB
RC3356866031,Hero(BB),123BB,Qs Jh,8s 8h 3s,,,Opp(MP): raises 3.0BB; Hero: calls 2.0BB; ,6.4BB,Hero: checks; Opp(MP): bets 3.2BB; ,6.4BB,,0BB,,0BB,-3.0BB,6.4BB
RC3356865944,Hero(SB),122BB,Td Ah,,,,Hero: raises 3.0BB; ,2.4BB,,0BB,,0BB,,0BB,1.0BB,2.0BB
RC3356865921,Hero(BTN),122BB,2h 3h,Ac 8s Js,Jh,4h,Opp(UTG): raises 2.0BB; Opp(CO): calls 2.0BB; ,5.4BB,Opp(UTG): checks; Opp(CO): checks; ,5.4BB,Opp(UTG): bets 1.4BB; Opp(CO): calls 1.4BB; ,8.2BB,Opp(UTG): checks; Opp(CO): checks; 3afb98d1: shows [Ad 9c] (Pair of Aces and Pair of Jacks); 8d782de2: shows [5c 5h] (Pair of Jacks and Pair of Fives); ,8.2BB,0BB,8.2BB
RC3356865894,Hero(SB),123BB,6h 4s,,,,,0.8BB,,0BB,,0BB,,0BB,-0.4BB,0.8BB
RC3356865867,Hero(UTG),123BB,5d Jd,4s 6s Td,3d,,Opp(BTN): raises 2.2BB; Opp(BB): calls 1.2BB; ,4.8BB,Opp(BB): checks; Opp(BTN): checks; ,4.8BB,Opp(BB): bets 2.8BB; ,4.8BB,,0BB,0BB,4.8BB
RC3356865826,Hero(BB),124BB,2c Jd,,,,Opp(UTG): raises 2.6BB; Opp(CO): raises 8.0BB; ,6.6BB,,0BB,,0BB,,0BB,-1.0BB,6.6BB
RC3356865807,Hero(BTN),124BB,7s Th,Qc 6s Td,,,Opp(CO): raises 2.6BB; Opp(BB): calls 1.6BB; ,5.6BB,Opp(BB): checks; Opp(CO): bets 2.8BB; ,5.6BB,,0BB,,0BB,0BB,5.6BB
RC3356865779,Hero(UTG),124BB,9c Ks,Ad Jd 7d,Qd,9s,Opp(CO): raises 2.0BB; Opp(BB): calls 1.0BB; ,4.4BB,Opp(BB): checks; Opp(CO): bets 1.4BB; Opp(BB): calls 1.4BB; ,7.2BB,Opp(BB): checks; Opp(CO): checks; ,7.2BB,Opp(BB): checks; Opp(CO): checks; b4561cdd: shows [As 6c] (Pair of Aces); 20424dad: shows [Jc Ac] (Pair of Aces and Pair of Jacks); ,7.2BB,0BB,7.2BB
RC3356865751,Hero(CO),124BB,5s 3h,3d Qh 5d,6d,Ts,Opp(SB): raises 2.0BB; Opp(BB): calls 1.0BB; ,4.4BB,Opp(SB): checks; Opp(BB): checks; ,4.4BB,Opp(SB): bets 3.0BB; Opp(BB): raises 12.0BB; Opp(SB): calls 9.0BB; ,28.4BB,Opp(SB): checks; Opp(BB): checks; 680a73b6: shows [7c 4d] (Sevens-High Straight); a7b76c53: shows [Ad Jc] (Ace-High); ,28.4BB,0BB,28.0BB
RC3356865724,Hero(MP),124BB,3s 2h,,,,Opp(CO): raises 3.0BB; ,2.4BB,,0BB,,0BB,,0BB,0BB,2.4BB
RC3356865697,Hero(UTG),124BB,4s Kd,9s Ts 4d,2d,2s,Opp(MP): raises 2.6BB; Opp(BTN): calls 2.6BB; ,6.6BB,Opp(MP): bets 3.0BB; Opp(BTN): calls 3.0BB; ,12.6BB,Opp(MP): checks; Opp(BTN): checks; ,12.6BB,Opp(MP): bets 4.0BB; Opp(BTN): calls 4.0BB; a61722b7: shows [Tc As] (Pair of Tens and Pair of Twos); e0f6563d: shows [Th Jd] (Pair of Tens and Pair of Twos); ,20.6BB,0BB,20.6BB
RC3356865674,Hero(SB),124BB,7h Qd,,,,,0.8BB,,0BB,,0BB,,0BB,-0.4BB,0.8BB
RC3356865637,Hero(BTN),124BB,2d 7s,,,,Opp(SB): raises 3.0BB; ,2.4BB,,0BB,,0BB,,0BB,0BB,2.0BB
RC3356865606,Hero(BB),125BB,9h 3c,7h 3h Jc,Th,5c,Opp(BTN): raises 2.6BB; Opp(SB): calls 2.2BB; ,6.2BB,Opp(SB): checks; Opp(BTN): bets 3.2BB; Opp(SB): calls 3.2BB; ,12.6BB,Opp(SB): checks; Opp(BTN): checks; ,12.6BB,Opp(SB): checks; Opp(BTN): bets 9.6BB; Opp(SB): calls 9.6BB; c2f162af: shows [Qh Qs] (Pair of Queens); 4ff84a88: shows [7s 9s] (Pair of Sevens); ,31.8BB,-1.0BB,31.8BB
RC3356865577,Hero(UTG),125BB,Ad 5s,,,,,0.8BB,,0BB,,0BB,,0BB,0BB,0.8BB
RC3356865534,Hero(CO),125BB,Kd Td,,,,Opp(UTG): raises 2.0BB; Opp(MP): raises 3.0BB; Opp(UTG): raises 14.2BB; ,9.4BB,,0BB,,0BB,,0BB,0BB,7.4BB
RC3356865505,Hero(MP),125BB,Th 5c,,,,Opp(SB): raises 2.4BB; ,2.4BB,,0BB,,0BB,,0BB,0BB,2.0BB
RC3356865379,Hero(CO),124BB,Th Qc,,,,Hero: raises 2.0BB; ,2.4BB,,0BB,,0BB,,0BB,1.2BB,2.4BB
RC3356865085,Hero(BTN),148BB,Kd Jh,3d 9d Jd,Ac,5s,Opp(CO): raises 2.6BB; Hero: raises 7.6BB; Opp(CO): calls 5.0BB; ,16.6BB,Opp(CO): checks; Hero: bets 5.6BB; Opp(CO): calls 5.6BB; ,27.8BB,Opp(CO): checks; Hero: bets 14.0BB; Opp(CO): calls 14.0BB; ,55.8BB,Opp(CO): checks; Hero: checks; 3dd4005e: shows [As Td] (Pair of Aces); Hero: shows [Kd Jh] (Pair of Jacks); ,55.8BB,-27.2BB,55.8BB
RC3356865060,Hero(BB),149BB,8s 5h,,,,,0.8BB,,0BB,,0BB,,0BB,0.4BB,0.8BB
RC3356865036,Hero(BB),150BB,Kh 8d,,,,,0.8BB,,0BB,,0BB,,0BB,0.4BB,0.8BB
RC3356865007,Hero(SB),150BB,Jd 3s,,,,,0.8BB,,0BB,,0BB,,0BB,-0.4BB,0.8BB
RC3356864914,Hero(CO),149BB,8d 6d,,,,Hero: raises 2.0BB; ,2.4BB,,0BB,,0BB,,0BB,1.2BB,2.4BB
RC3356864858,Hero(BTN),149BB,9c Kc,,,,Opp(CO): raises 4.0BB; ,2.4BB,,0BB,,0BB,,0BB,0BB,2.4BB
RC3356864837,Hero(UTG),149BB,Qh 2d,,,,,0.8BB,,0BB,,0BB,,0BB,0BB,0.8BB
RC3356864815,Hero(CO),149BB,4s Jc,,,,,0.8BB,,0BB,,0BB,,0BB,0BB,0.8BB
RC3356864794,Hero(SB),149BB,5s Jc,,,,,0.8BB,,0BB,,0BB,,0BB,-0.4BB,0.8BB
RC3356814510,Hero(BTN),157BB,Ac Ah,Jh Tc 4s,Ks,,Hero: raises 2.0BB; Opp(BB): calls 1.0BB; ,4.4BB,Opp(BB): checks; Hero: bets 1.6BB; Opp(BB): calls 1.6BB; ,7.6BB,Opp(BB): checks; Hero: bets 4.0BB; Opp(BB): raises 8.0BB; ,15.6BB,,0BB,-7.6BB,15.6BB
RC3356814437,Hero(CO),156BB,Jc Qs,,,,Hero: raises 2.0BB; ,2.4BB,,0BB,,0BB,,0BB,1.2BB,2.4BB
RC3356814410,Hero(BB),157BB,8c 5s,Qs 7s 6c,5c,8s,Opp(MP): calls 1.0BB; Hero: checks; ,2.4BB,Hero: checks; Opp(MP): checks; ,2.4BB,Hero: checks; Opp(MP): checks; ,2.4BB,Hero: checks; Opp(MP): bets 1.0BB; ,2.4BB,-1.0BB,2.4BB
RC3356814387,Hero(SB),157BB,Jh 3c,,,,Opp(CO): raises 2.0BB; ,2.4BB,,0BB,,0BB,,0BB,-0.4BB,2.4BB
RC3356814363,Hero(UTG),157BB,Th Kd,,,,,0.8BB,,0BB,,0BB,,0BB,0BB,0.8BB
RC3356814245,Hero(CO),156BB,8c Ac,,,,Hero: raises 2.0BB; ,2.4BB,,0BB,,0BB,,0BB,1.2BB,2.4BB
RC3356814204,Hero(MP),156BB,8d Qc,,,,Opp(UTG): raises 2.4BB; ,2.4BB,,0BB,,0BB,,0BB,0BB,2.4BB
RC3356814178,Hero(MP),156BB,8h Jc,,,,Opp(CO): raises 2.2BB; Opp(BB): raises 11.2BB; ,5.8BB,,0BB,,0BB,,0BB,0BB,4.8BB
RC3356814131,Hero(CO),156BB,3h 9d,,,,Opp(MP): raises 2.0BB; ,2.4BB,,0BB,,0BB,,0BB,0BB,2.4BB
RC3356814102,Hero(CO),156BB,5d Th,,,,,0.8BB,,0BB,,0BB,,0BB,0BB,0.8BB
RC3356814078,Hero(BTN),156BB,9s Kh,,,,Opp(UTG): raises 2.0BB; ,2.4BB,,0BB,,0BB,,0BB,0BB,2.4BB
RC3356814048,Hero(SB),156BB,5d Qd,7c 5s 9h,4h,Js,Opp(MP): raises 2.0BB; Opp(BTN): calls 2.0BB; ,5.4BB,Opp(MP): bets 2.6BB; Opp(BTN): calls 2.6BB; ,10.6BB,Opp(MP): bets 8.0BB; Opp(BTN): calls 8.0BB; ,26.6BB,Opp(MP): bets 20.0BB; Opp(BTN): raises 86.0BB; Opp(MP): calls 66.0BB; 7aa3ec13: shows [Ad 7d] (Pair of Sevens); b94b1c17: shows [9d Jd] (Pair of Jacks and Pair of Nines); ,198.6BB,-0.4BB,198.6BB
RC3356814003,Hero(CO),156BB,5c 8d,4h 9s Jc,2h,,Opp(UTG): raises 2.2BB; Opp(BTN): calls 2.2BB; Opp(BB): calls 1.2BB; ,7.0BB,Opp(BB): checks; Opp(UTG): checks; Opp(BTN): bets 3.4BB; Opp(UTG): calls 3.4BB; ,13.8BB,Opp(UTG): checks; Opp(BTN): bets 6.6BB; ,13.8BB,,0BB,0BB,13.8BB
RC3356813979,Hero(BB),157BB,Jd 2d,,,,Opp(UTG): raises 2.0BB; ,2.4BB,,0BB,,0BB,,0BB,-1.0BB,2.4BB
RC3356813655,Hero(CO),155BB,8c 8d,9s 3d 8s,,,Hero: raises 2.0BB; Opp(BB): calls 1.0BB; ,4.4BB,Opp(BB): checks; Hero: bets 2.4BB; ,4.4BB,,0BB,,0BB,2.1BB,4.4BB
RC3356813628,Hero(SB),155BB,3s Jd,Qh 9h Ac,,,Opp(MP): raises 2.0BB; Opp(BB): calls 1.0BB; ,4.4BB,Opp(BB): checks; Opp(MP): bets 1.6BB; ,4.4BB,,0BB,,0BB,-0.4BB,4.4BB
RC3356813211,Hero(BTN),128BB,Qh Qs,5d 2c 9d,3s,2h,Opp(CO): raises 2.2BB; Hero: raises 6.8BB; Opp(CO): calls 4.6BB; ,15.0BB,Opp(CO): checks; Hero: bets 7.6BB; Opp(CO): calls 7.6BB; ,30.2BB,Opp(CO): checks; Hero: bets 15.2BB; Opp(CO): calls 15.2BB; ,60.6BB,Opp(CO): checks; Hero: bets 76.0BB; ,60.6BB,28.2BB,60.6BB
RC3356813152,Hero(BB),129BB,5c Kc,,,,Opp(CO): raises 2.6BB; ,2.4BB,,0BB,,0BB,,0BB,-1.0BB,2.4BB
RC3356813124,Hero(MP),129BB,8s Jh,,,,Opp(SB): raises 2.4BB; ,2.4BB,,0BB,,0BB,,0BB,0BB,2.0BB
RC3356813100,Hero(BTN),129BB,5d Jh,,,,Opp(UTG): raises 3.0BB; ,2.4BB,,0BB,,0BB,,0BB,0BB,2.4BB
RC3356813072,Hero(UTG),129BB,Ah 3c,,,,Opp(MP): raises 2.2BB; ,2.4BB,,0BB,,0BB,,0BB,0BB,2.4BB
RC3356812958,Hero(BB),130BB,9d Th,,,,Opp(BTN): raises 2.2BB; ,2.4BB,,0BB,,0BB,,0BB,-1.0BB,2.4BB
RC3356812932,Hero(MP),130BB,Jh 3h,,,,Opp(CO): raises 2.4BB; ,2.4BB,,0BB,,0BB,,0BB,0BB,2.4BB
RC3356812909,Hero(MP),130BB,Kd 6c,,,,Opp(BTN): raises 2.4BB; ,2.4BB,,0BB,,0BB,,0BB,0BB,2.4BB
RC3356812888,Hero(SB),131BB,7s 5h,,,,Opp(MP): raises 2.0BB; ,2.4BB,,0BB,,0BB,,0BB,-0.4BB,2.4BB
RC3356812855,Hero(CO),131BB,6c Ah,,,,Opp(BTN): raises 3.0BB; ,2.4BB,,0BB,,0BB,,0BB,0BB,2.4BB
RC3356812835,Hero(BTN),131BB,4d 3c,3d As 7c,7s,9d,Opp(CO): raises 2.4BB; Opp(BB): calls 1.4BB; ,5.2BB,Opp(BB): checks; Opp(CO): bets 1.8BB; Opp(BB): calls 1.8BB; ,8.8BB,Opp(BB): checks; Opp(CO): bets 3.0BB; Opp(BB): calls 3.0BB; ,14.8BB,Opp(BB): checks; Opp(CO): bets 5.0BB; Opp(BB): raises 40.0BB; Opp(CO): calls 35.0BB; 5310aa2: shows [4s 4c] (Pair of Sevens and Pair of Fours); ce2e0852: shows [2c Ac] (Pair of Aces and Pair of Sevens); ,94.8BB,0BB,94.8BB
RC3356812744,Hero(BB),130BB,Qs Ks,,,,,0.8BB,,0BB,,0BB,,0BB,0.4BB,0.8BB
RC3356812719,Hero(CO),130BB,5h 9c,9d 8s 7c,,,Opp(MP): raises 2.0BB; Opp(SB): calls 1.6BB; ,5.0BB,Opp(SB): checks; Opp(MP): bets 3.8BB; ,5.0BB,,0BB,,0BB,0BB,5.0BB
RC3356812637,Hero(SB),131BB,9s Qd,6h 9h 7d,,,Opp(UTG): raises 2.0BB; Opp(BB): calls 1.0BB; ,4.4BB,Opp(BB): checks; Opp(UTG): bets 2.2BB; ,4.4BB,,0BB,,0BB,-0.4BB,4.4BB
RC3356812479,Hero(UTG),133BB,5h 4h,,,,Hero: raises 2.0BB; Opp(MP): raises 9.0BB; ,5.4BB,,0BB,,0BB,,0BB,-2.0BB,5.4BB
RC3356812113,Hero(CO),125BB,Jh Tc,2s 3h Qh,Td,8d,Hero: raises 2.0BB; Opp(BB): calls 1.0BB; ,4.4BB,Opp(BB): checks; Hero: bets 1.6BB; Opp(BB): calls 1.6BB; ,7.6BB,Opp(BB): checks; Hero: bets 5.0BB; Opp(BB): calls 5.0BB; ,17.6BB,Opp(BB): checks; Hero: checks; 98168b07: shows [6h 9h] (Queen-High); Hero: shows [Jh Tc] (Pair of Tens); ,17.6BB,8.4BB,17.6BB
RC3356812085,Hero(SB),125BB,Qd Ts,,,,,0.8BB,,0BB,,0BB,,0BB,-0.4BB,0.8BB
RC3356811854,Hero(BB),127BB,Jc 9c,2s 4c 3h,,,Opp(BTN): raises 2.2BB; Hero: calls 1.2BB; ,4.8BB,Hero: checks; Opp(BTN): bets 1.6BB; ,4.8BB,,0BB,,0BB,-2.2BB,4.8BB
RC3356811825,Hero(BTN),127BB,Jd 5c,,,,Opp(CO): raises 2.0BB; ,2.4BB,,0BB,,0BB,,0BB,0BB,2.4BB
RC3356811801,Hero(CO),127BB,5h Ad,,,,Opp(UTG): raises 3.0BB; Opp(MP): raises 9.0BB; ,7.4BB,,0BB,,0BB,,0BB,0BB,7.4BB
RC3356811765,Hero(BTN),127BB,Qc 8d,,,,,0.8BB,,0BB,,0BB,,0BB,0BB,0.8BB
RC3356811739,Hero(BB),128BB,3c 6s,,,,Opp(UTG): raises 2.0BB; ,2.4BB,,0BB,,0BB,,0BB,-1.0BB,2.4BB
RC3356811681,Hero(CO),128BB,Kh 9d,,,,Opp(BTN): raises 2.0BB; Opp(BB): raises 8.0BB; ,5.4BB,,0BB,,0BB,,0BB,0BB,4.4BB
RC3356811372,Hero(MP),132BB,As Kd,7d 6d 7s,Td,5c,Hero: raises 2.0BB; Opp(BB): calls 1.0BB; ,4.4BB,Opp(BB): checks; Hero: checks; ,4.4BB,Opp(BB): checks; Hero: bets 1.6BB; Opp(BB): calls 1.6BB; ,7.6BB,Opp(BB): checks; Hero: checks; 98168b07: shows [2s 6s] (Pair of Sevens and Pair of Sixes); Hero: shows [As Kd] (Pair of Sevens); ,7.6BB,-3.6BB,7.6BB
RC3356811305,Hero(SB),132BB,8c Ad,7s 2h 2s,3s,,Opp(BTN): raises 2.2BB; Opp(BB): calls 1.2BB; ,4.8BB,Opp(BB): checks; Opp(BTN): checks; ,4.8BB,Opp(BB): bets 3.0BB; ,4.8BB,,0BB,-0.4BB,4.8BB
RC3356810911,Hero(UTG),128BB,Ad Ac,2h Ks Th,Jd,,Hero: raises 2.0BB; Opp(BB): calls 1.0BB; ,4.4BB,Opp(BB): checks; Hero: bets 1.6BB; Opp(BB): calls 1.6BB; ,7.6BB,Opp(BB): checks; Hero: bets 5.0BB; ,7.6BB,,0BB,3.7BB,7.6BB
RC3356810884,Hero(CO),128BB,8s Th,,,,Opp(BTN): raises 2.2BB; ,2.4BB,,0BB,,0BB,,0BB,0BB,2.4BB
RC3356810799,Hero(UTG),127BB,Td As,,,,Hero: raises 2.0BB; ,2.4BB,,0BB,,0BB,,0BB,1.2BB,2.4BB
RC3356810739,Hero(MP),126BB,4s As,Tc 5h Qs,Kh,Kc,Opp(SB): raises 2.0BB; Opp(BB): calls 1.0BB; ,4.4BB,Opp(SB): checks; Opp(BB): bets 3.0BB; Opp(SB): calls 3.0BB; ,10.4BB,Opp(SB): checks; Opp(BB): checks; ,10.4BB,Opp(SB): checks; Opp(BB): checks; e46d84e9: shows [Th Ad] (Pair of Kings and Pair of Tens); 16f9539d: shows [9c 8c] (Pair of Kings); ,10.4BB,0BB,10.0BB
RC3356810687,Hero(BB),127BB,6d 7s,,,,,0.8BB,,0BB,,0BB,,0BB,0.4BB,0.8BB
RC3356810659,Hero(CO),127BB,5c 2s,,,,,0.8BB,,0BB,,0BB,,0BB,0BB,0.8BB
RC3356810457,Hero(SB),128BB,Kh 7h,,,,Hero: calls 0.6BB; Opp(BB): raises 4.4BB; ,3.0BB,,0BB,,0BB,,0BB,-1.0BB,2.0BB
RC3356810427,Hero(BTN),128BB,Ks 4c,,,,,0.8BB,,0BB,,0BB,,0BB,0BB,0.8BB
