hand_id,hero_position,hero_stack,hero_cards,flop_cards,turn_card,river_card,preflop_actions,Preflop_Pot,flop_actions,Flop_Pot,turn_actions,Turn_Pot,river_actions,River_Pot,Result(Hero),Total_Pot
RC3334443566,Hero(BB),100BB,2h Kh,,,,Opp(UTG): raises 2.6BB; Opp(MP): folds; Opp(CO): folds; Opp(BTN): folds; Opp(SB): folds; Hero: folds; ,2.4BB,,0BB,,0BB,,0BB,-1.0BB,2.4BB
RC3334443540,Hero(MP),100BB,2s 4s,9c Jc As,5s,2d,Opp(UTG): raises 2.0BB; Hero: folds; Opp(CO): folds; Opp(BTN): folds; Opp(SB): calls 1.6BB; Opp(BB): folds; ,5.0BB,Opp(SB): checks; Opp(UTG): checks; ,5.0BB,Opp(SB): checks; Opp(UTG): checks; ,5.0BB,Opp(SB): checks; Opp(UTG): checks; 94c257a9: shows [6c 6h] (Pair of Sixes); 48fa5407: shows [Ks Js] (Pair of Jacks); ,5.0BB,0BB,5.0BB
RC3334443513,Hero(CO),100BB,2h 9c,,,,Opp(UTG): raises 2.0BB; Opp(MP): folds; Hero: folds; Opp(BTN): folds; Opp(SB): folds; Opp(BB): folds; ,2.4BB,,0BB,,0BB,,0BB,0BB,2.4BB
RC3334443489,Hero(UTG),100BB,9s 4s,,,,Hero: folds; Opp(MP): raises 2.0BB; Opp(CO): folds; Opp(BTN): folds; Opp(SB): folds; Opp(BB): folds; ,2.4BB,,0BB,,0BB,,0BB,0BB,2.4BB
RC3334443464,Hero(BTN),100BB,Ac 5d,4h Jc Ts,,,Opp(UTG): folds; Opp(MP): folds; Opp(CO): folds; Hero: folds; Opp(SB): calls 0.6BB; Opp(BB): raises 3.0BB; Opp(SB): calls 2.0BB; ,7.0BB,Opp(SB): checks; Opp(BB): bets 3.0BB; Opp(SB): folds; ,7.0BB,,0BB,,0BB,0BB,6.0BB
RC3334443423,Hero(MP),100BB,9s Ah,7c 3c Jd,,,Opp(UTG): folds; Hero: folds; Opp(CO): folds; Opp(BTN): raises 3.0BB; Opp(SB): folds; Opp(BB): calls 2.0BB; ,6.4BB,Opp(BB): checks; Opp(BTN): bets 4.8BB; Opp(BB): raises 17.0BB; Opp(BTN): folds; ,16.0BB,,0BB,,0BB,0BB,16.0BB
RC3334443221,Hero(SB),100BB,Ts Kh,5s 4c 7h,8c,Ad,Opp(UTG): folds; Opp(MP): folds; Opp(CO): folds; Opp(BTN): raises 2.0BB; Hero: calls 1.6BB; Opp(BB): folds; ,5.0BB,Hero: checks; Opp(BTN): checks; ,5.0BB,Hero: checks; Opp(BTN): checks; ,5.0BB,Hero: checks; Opp(BTN): checks; Hero: shows [Ts Kh] (Ace-High); 3b2a8270: shows [2c 2h] (Pair of Twos); ,5.0BB,-2.0BB,5.0BB
RC3334442965,Hero(BB),103BB,5s As,3s Jh 7d,Kh,,Opp(UTG): folds; Opp(MP): folds; Opp(CO): folds; Opp(BTN): raises 2.6BB; Opp(SB): folds; Hero: calls 1.6BB; ,5.6BB,Hero: checks; Opp(BTN): checks; ,5.6BB,Hero: checks; Opp(BTN): bets 4.4BB; Hero: folds; ,5.6BB,,0BB,-2.6BB,5.6BB
RC3334442912,Hero(UTG),103BB,4d 9d,3s 5s Jc,,,Hero: folds; Opp(MP): folds; Opp(CO): raises 2.0BB; Opp(BTN): folds; Opp(SB): folds; Opp(BB): calls 1.0BB; ,4.4BB,Opp(BB): bets 1.6BB; Opp(CO): folds; ,4.4BB,,0BB,,0BB,0BB,4.4BB
RC3334442891,Hero(BTN),103BB,7h 2d,,,,Opp(UTG): folds; Opp(MP): folds; Opp(CO): folds; Hero: folds; Opp(SB): folds; ,0.8BB,,0BB,,0BB,,0BB,0BB,0.8BB
RC3334442682,Hero(MP),100BB,Js Ks,Tc 3c 4h,5d,Ac,Opp(UTG): folds; Hero: raises 2.0BB; Opp(CO): folds; Opp(BTN): folds; Opp(SB): calls 1.6BB; Opp(BB): folds; ,5.0BB,Opp(SB): checks; Hero: checks; ,5.0BB,Opp(SB): checks; Hero: checks; ,5.0BB,Opp(SB): checks; Hero: checks; 711af4a4: shows [Qh 9h] (Ace-High); Hero: shows [Js Ks] (Ace-High); ,5.0BB,2.4BB,5.0BB
RC3334442654,Hero(BB),100BB,7c Kd,,,,Opp(UTG): folds; Opp(MP): folds; Opp(CO): folds; Opp(BTN): raises 2.6BB; Opp(SB): raises 12.2BB; Hero: folds; Opp(BTN): folds; ,6.6BB,,0BB,,0BB,,0BB,-1.0BB,6.2BB
RC3334442632,Hero(UTG),100BB,3d 4c,,,,Hero: folds; Opp(MP): folds; Opp(CO): raises 2.6BB; Opp(BTN): folds; Opp(SB): folds; Opp(BB): folds; ,2.4BB,,0BB,,0BB,,0BB,0BB,2.4BB
RC3334442602,Hero(SB),100BB,Th 3h,,,,Opp(UTG): folds; Opp(MP): folds; Opp(CO): folds; Opp(BTN): folds; Hero: folds; ,0.8BB,,0BB,,0BB,,0BB,-0.4BB,0.8BB
RC3334442582,Hero(BTN),100BB,9d 2s,,,,Opp(UTG): folds; Opp(MP): folds; Opp(CO): folds; Hero: folds; Opp(SB): folds; ,0.8BB,,0BB,,0BB,,0BB,0BB,0.8BB
RC3334442557,Hero(UTG),100BB,2s Kc,4s 9d 7s,2d,9c,Hero: folds; Opp(MP): folds; Opp(CO): folds; Opp(BTN): raises 3.0BB; Opp(SB): raises 8.4BB; Opp(BB): folds; Opp(BTN): calls 5.4BB; ,18.2BB,Opp(SB): checks; Opp(BTN): checks; ,18.2BB,Opp(SB): checks; Opp(BTN): checks; ,18.2BB,Opp(SB): checks; Opp(BTN): bets 13.4BB; Opp(SB): folds; ,18.2BB,0BB,17.8BB
RC3334442535,Hero(UTG),100BB,6c Qd,Tc 8s 6h,6s,Jc,Hero: folds; Opp(MP): raises 2.2BB; Opp(CO): folds; Opp(BTN): folds; Opp(SB): folds; Opp(BB): calls 1.2BB; ,4.8BB,Opp(BB): checks; Opp(MP): checks; ,4.8BB,Opp(BB): bets 2.4BB; Opp(MP): raises 9.8BB; Opp(BB): calls 7.4BB; ,24.4BB,Opp(BB): checks; Opp(MP): bets 23.4BB; Opp(BB): calls 23.4BB; cea9730b: shows [8h 8c] (Eights Full over Sixes); 8cd59d43: shows [As Th] (Pair of Tens and Pair of Sixes); ,71.2BB,0BB,71.2BB
RC3334442506,Hero(CO),100BB,Kh 9d,,,,Opp(UTG): folds; Opp(MP): folds; Hero: folds; Opp(BTN): folds; Opp(SB): folds; ,0.8BB,,0BB,,0BB,,0BB,0BB,0.8BB
RC3334442482,Hero(SB),100BB,3s Ah,4s Qc 9c,Ad,,Opp(UTG): folds; Opp(MP): folds; Opp(CO): raises 2.0BB; Opp(BTN): folds; Hero: folds; Opp(BB): raises 5.4BB; Opp(CO): calls 3.4BB; ,12.2BB,Opp(BB): bets 5.6BB; Opp(CO): calls 5.6BB; ,23.4BB,Opp(BB): checks; Opp(CO): bets 16.8BB; Opp(BB): folds; ,23.4BB,,0BB,-0.4BB,22.4BB
RC3334442307,Hero(BTN),100BB,Tc Qh,7d Jc 7s,6c,,Opp(UTG): folds; Opp(MP): folds; Opp(CO): folds; Hero: raises 2.0BB; Opp(SB): calls 1.6BB; Opp(BB): calls 1.0BB; ,6.0BB,Opp(SB): checks; Opp(BB): checks; Hero: checks; ,6.0BB,Opp(SB): bets 3.0BB; Opp(BB): folds; Hero: folds; ,6.0BB,,0BB,-2.0BB,6.0BB
